CardID,CustomerID,AccountID,CardType,CardStatus,IssueDate,ExpiryDate
CARD0042,CUST0850,ACC0183,Visa Gold,Expired,2021-08-05,2026-08-04
CARD0043,CUST0257,ACC0222,Visa Platinum,Expired,2021-09-21,2026-09-20
CARD0044,CUST0020,ACC0732,Amex Platinum,Expired,2023-11-18,2028-11-16
CARD0045,CUST0110,ACC0036,Visa Gold,Blocked,2023-09-06,2028-09-04
CARD0046,CUST0192,ACC0915,Amex Platinum,Blocked,2024-06-01,2029-05-31
CARD0047,CUST0388,ACC0692,Amex Platinum,Active,2022-05-26,2027-05-25
CARD0048,CUST0172,ACC0546,Visa Gold,Expired,2024-09-10,2029-09-09
CARD0049,CUST0257,ACC0222,Visa Gold,Blocked,2021-07-10,2026-07-09
CARD0050,CUST0221,ACC0453,Visa Platinum,Active,2024-05-06,2029-05-05
CARD0051,CUST0423,ACC0714,Visa Gold,Expired,2021-04-26,2026-04-25
CARD0052,CUST0283,ACC0049,Visa Platinum,Blocked,2022-04-14,2027-04-13
CARD0053,CUST0611,ACC0857,Visa Platinum,Active,2025-11-21,2030-11-20
CARD0054,CUST0536,ACC0651,Visa Gold,Expired,2021-06-29,2026-06-28
CARD0055,CUST0885,ACC0831,Amex Platinum,Expired,2025-06-03,2030-06-02
CARD0056,CUST0800,ACC0536,Mastercard Standard,Blocked,2023-07-08,2028-07-06
CARD0057,CUST0294,ACC0657,Visa Gold,Active,2024-07-26,2029-07-25
CARD0058,CUST0194,ACC0679,Visa Gold,Expired,2024-06-02,2029-06-01
CARD0059,CUST0051,ACC0734,Visa Platinum,Blocked,2025-09-17,2030-09-16
CARD0060,CUST0008,ACC0676,Visa Platinum,Active,2023-08-04,2028-08-02
CARD0061,CUST0750,ACC0919,Visa Platinum,Expired,2023-09-02,2028-08-31
CARD0062,CUST0483,ACC0106,Visa Gold,Blocked,2023-12-06,2028-12-04
CARD0063,CUST0875,ACC0400,Mastercard Standard,Expired,2021-01-25,2026-01-24
CARD0064,CUST0279,ACC0707,Visa Gold,Active,2023-05-20,2028-05-18
CARD0065,CUST0629,ACC0316,Visa Gold,Blocked,2025-06-28,2030-06-27
CARD0066,CUST0261,ACC0455,Visa Gold,Blocked,2022-04-02,2027-04-01
CARD0067,CUST0424,ACC0054,Mastercard Standard,Expired,2024-06-08,2029-06-07
CARD0068,CUST0562,ACC0613,Mastercard Standard,Active,2024-10-18,2029-10-17
CARD0069,CUST0489,ACC0005,Visa Platinum,Blocked,2022-09-30,2027-09-29
CARD0070,CUST0697,ACC0050,Amex Platinum,Active,2025-08-19,2030-08-18
CARD0071,CUST0255,ACC0791,Visa Gold,Active,2024-10-05,2029-10-04
CARD0072,CUST0982,ACC0387,Visa Platinum,Expired,2023-12-09,2028-12-07
CARD0073,CUST0013,ACC0786,Mastercard Standard,Active,2024-06-10,2029-06-09
CARD0074,CUST0075,ACC0207,Visa Gold,Expired,2022-09-05,2027-09-04
CARD0075,CUST0636,ACC0952,Mastercard Standard,Active,2023-07-26,2028-07-24
CARD0076,CUST0979,ACC0256,Amex Platinum,Expired,2021-09-19,2026-09-18
CARD0077,CUST0243,ACC0384,Visa Platinum,Expired,2021-04-25,2026-04-24
CARD0078,CUST0159,ACC0931,Amex Platinum,Blocked,2025-07-28,2030-07-27
CARD0079,CUST0070,ACC0245,Mastercard Standard,Expired,2023-11-06,2028-11-04
CARD0080,CUST0110,ACC0205,Mastercard Standard,Blocked,2024-04-26,2029-04-25
CARD0081,CUST0701,ACC0094,Visa Platinum,Expired,2022-01-27,2027-01-26
CARD0082,CUST0194,ACC0017,Visa Gold,Active,2025-06-06,2030-06-05
CARD0083,CUST0138,ACC0432,Visa Gold,Blocked,2025-08-08,2030-08-07
CARD0084,CUST0671,ACC0029,Visa Platinum,Active,2023-06-02,2028-05-31
CARD0085,CUST0419,ACC0015,Visa Gold,Active,2022-10-27,2027-10-26
CARD0086,CUST0056,ACC0346,Visa Platinum,Active,2021-10-16,2026-10-15
CARD0087,CUST0172,ACC0841,Visa Platinum,Active,2025-05-09,2030-05-08
CARD0088,CUST0953,ACC0197,Mastercard Standard,Blocked,2025-09-11,2030-09-10
CARD0089,CUST0641,ACC0697,Visa Platinum,Active,2023-08-29,2028-08-27
CARD0090,CUST0168,ACC0686,Visa Platinum,Expired,2025-06-08,2030-06-07
CARD0091,CUST0315,ACC0065,Visa Platinum,Expired,2023-11-25,2028-11-23
CARD0092,CUST0387,ACC0226,Mastercard Standard,Active,2022-05-13,2027-05-12
CARD0093,CUST0961,ACC0982,Mastercard Standard,Active,2021-03-14,2026-03-13
CARD0094,CUST0041,ACC0904,Visa Platinum,Expired,2021-03-28,2026-03-27
CARD0095,CUST0988,ACC0099,Amex Platinum,Expired,2025-08-05,2030-08-04
CARD0096,CUST0044,ACC0817,Visa Gold,Expired,2023-03-15,2028-03-13
CARD0097,CUST0705,ACC0856,Mastercard Standard,Active,2023-01-20,2028-01-19
CARD0098,CUST0044,ACC0851,Mastercard Standard,Expired,2023-08-03,2028-08-01
CARD0099,CUST0904,ACC0681,Amex Platinum,Blocked,2024-08-06,2029-08-05
CARD0100,CUST0206,ACC0172,Visa Platinum,Active,2025-04-19,2030-04-18
CARD0101,CUST0276,ACC0742,Amex Platinum,Expired,2021-12-10,2026-12-09
CARD0102,CUST0206,ACC0172,Amex Platinum,Expired,2021-07-06,2026-07-05
CARD0103,CUST0579,ACC0046,Visa Gold,Active,2024-03-04,2029-03-03
CARD0104,CUST0485,ACC0426,Mastercard Standard,Blocked,2023-03-19,2028-03-17
CARD0105,CUST0325,ACC0525,Amex Platinum,Expired,2025-04-26,2030-04-25
CARD0106,CUST0066,ACC0111,Visa Platinum,Expired,2024-01-07,2029-01-05
CARD0107,CUST0242,ACC0836,Visa Platinum,Blocked,2022-01-20,2027-01-19
CARD0108,CUST0503,ACC0335,Visa Gold,Active,2021-05-29,2026-05-28
CARD0109,CUST0919,ACC0331,Mastercard Standard,Active,2022-01-23,2027-01-22
CARD0110,CUST0086,ACC0576,Visa Platinum,Expired,2024-10-26,2029-10-25
CARD0111,CUST0453,ACC0642,Mastercard Standard,Active,2023-07-15,2028-07-13
CARD0112,CUST0200,ACC0195,Visa Platinum,Blocked,2025-11-14,2030-11-13
CARD0113,CUST0825,ACC0640,Amex Platinum,Active,2021-01-17,2026-01-16
CARD0114,CUST0823,ACC0213,Visa Platinum,Expired,2024-11-08,2029-11-07
CARD0115,CUST0675,ACC0957,Mastercard Standard,Active,2023-11-20,2028-11-18
CARD0116,CUST0964,ACC0555,Amex Platinum,Expired,2023-01-04,2028-01-03
CARD0117,CUST0586,ACC0405,Amex Platinum,Blocked,2025-12-12,2030-12-11
CARD0118,CUST0195,ACC0962,Visa Gold,Blocked,2025-10-24,2030-10-23
CARD0119,CUST0324,ACC0439,Visa Platinum,Expired,2025-07-15,2030-07-14
CARD0120,CUST0534,ACC0124,Visa Gold,Active,2022-12-28,2027-12-27
CARD0121,CUST0919,ACC0238,Mastercard Standard,Blocked,2023-12-25,2028-12-23
CARD0122,CUST0833,ACC0219,Visa Gold,Active,2023-07-19,2028-07-17
CARD0123,CUST0446,ACC0109,Visa Gold,Active,2023-06-04,2028-06-02
CARD0124,CUST0472,ACC0366,Amex Platinum,Expired,2025-11-15,2030-11-14
CARD0125,CUST0589,ACC0332,Visa Gold,Active,2022-03-11,2027-03-10
CARD0126,CUST0942,ACC0178,Mastercard Standard,Expired,2024-03-19,2029-03-18
CARD0127,CUST0264,ACC0016,Visa Gold,Expired,2025-06-03,2030-06-02
CARD0128,CUST0739,ACC0412,Mastercard Standard,Active,2023-02-09,2028-02-08
CARD0129,CUST0441,ACC0670,Mastercard Standard,Active,2021-11-23,2026-11-22
CARD0130,CUST0494,ACC0324,Mastercard Standard,Blocked,2023-10-16,2028-10-14
CARD0131,CUST0898,ACC0013,Visa Platinum,Expired,2025-05-24,2030-05-23
CARD0132,CUST0374,ACC0399,Visa Platinum,Active,2025-12-15,2030-12-14
CARD0133,CUST0551,ACC0218,Mastercard Standard,Active,2022-08-22,2027-08-21
CARD0134,CUST0264,ACC0470,Visa Gold,Active,2024-01-28,2029-01-26
CARD0135,CUST0387,ACC0226,Visa Gold,Blocked,2024-11-12,2029-11-11
CARD0136,CUST0793,ACC0068,Amex Platinum,Blocked,2021-11-01,2026-10-31
CARD0137,CUST0237,ACC0674,Visa Platinum,Active,2022-04-01,2027-03-31
CARD0138,CUST0116,ACC0835,Amex Platinum,Active,2024-08-15,2029-08-14
CARD0139,CUST0700,ACC0286,Visa Gold,Active,2024-07-04,2029-07-03
CARD0140,CUST0489,ACC0666,Visa Gold,Blocked,2021-09-12,2026-09-11
CARD0141,CUST0233,ACC0639,Visa Platinum,Blocked,2021-10-14,2026-10-13
CARD0142,CUST0628,ACC0378,Mastercard Standard,Active,2021-07-13,2026-07-12
CARD0143,CUST0434,ACC0045,Amex Platinum,Blocked,2024-08-13,2029-08-12
CARD0144,CUST0723,ACC0069,Visa Gold,Active,2022-02-09,2027-02-08
CARD0145,CUST0449,ACC0907,Mastercard Standard,Blocked,2025-01-19,2030-01-18
CARD0146,CUST0454,ACC0224,Mastercard Standard,Active,2022-10-30,2027-10-29
CARD0147,CUST0150,ACC0421,Mastercard Standard,Blocked,2024-10-18,2029-10-17
CARD0148,CUST0123,ACC0309,Visa Gold,Active,2021-08-31,2026-08-30
CARD0149,CUST0013,ACC0786,Visa Gold,Blocked,2024-02-22,2029-02-20
CARD0150,CUST0456,ACC0614,Visa Platinum,Expired,2025-06-24,2030-06-23
CARD0151,CUST0432,ACC0512,Mastercard Standard,Active,2024-06-05,2029-06-04
CARD0152,CUST0149,ACC0105,Amex Platinum,Active,2025-10-03,2030-10-02
CARD0153,CUST0193,ACC0730,Visa Platinum,Expired,2025-06-01,2030-05-31
CARD0154,CUST0129,ACC0550,Mastercard Standard,Blocked,2024-05-11,2029-05-10
CARD0155,CUST0320,ACC0811,Amex Platinum,Blocked,2023-03-31,2028-03-29
CARD0156,CUST0190,ACC0945,Amex Platinum,Blocked,2025-12-21,2030-12-20
CARD0157,CUST0778,ACC0871,Visa Platinum,Expired,2025-03-30,2030-03-29
CARD0158,CUST0954,ACC0583,Mastercard Standard,Blocked,2024-08-08,2029-08-07
CARD0159,CUST0721,ACC0176,Visa Gold,Active,2024-09-29,2029-09-28
CARD0160,CUST0529,ACC0258,Visa Platinum,Active,2025-03-01,2030-02-28
CARD0161,CUST0133,ACC0983,Visa Platinum,Blocked,2024-07-19,2029-07-18
CARD0162,CUST0399,ACC0098,Visa Platinum,Active,2022-05-21,2027-05-20
CARD0163,CUST0139,ACC0615,Amex Platinum,Active,2022-03-25,2027-03-24
CARD0164,CUST0890,ACC0333,Mastercard Standard,Expired,2025-04-21,2030-04-20
CARD0165,CUST0160,ACC0647,Visa Gold,Expired,2022-01-30,2027-01-29
CARD0166,CUST0423,ACC0714,Mastercard Standard,Expired,2025-02-15,2030-02-14
CARD0167,CUST0382,ACC0398,Visa Platinum,Expired,2024-11-23,2029-11-22
CARD0168,CUST0082,ACC0695,Amex Platinum,Active,2022-02-06,2027-02-05
CARD0169,CUST0020,ACC0947,Amex Platinum,Active,2025-05-14,2030-05-13
CARD0170,CUST0398,ACC0996,Visa Platinum,Blocked,2025-07-02,2030-07-01
CARD0171,CUST0732,ACC0790,Amex Platinum,Blocked,2022-01-02,2027-01-01
CARD0172,CUST0545,ACC0711,Mastercard Standard,Blocked,2022-10-23,2027-10-22
CARD0173,CUST0011,ACC0137,Amex Platinum,Expired,2024-11-15,2029-11-14
CARD0174,CUST0408,ACC0341,Mastercard Standard,Expired,2025-01-10,2030-01-09
CARD0175,CUST0563,ACC0180,Mastercard Standard,Expired,2021-04-12,2026-04-11
CARD0176,CUST0536,ACC0651,Amex Platinum,Active,2022-05-03,2027-05-02
CARD0177,CUST0918,ACC0780,Visa Platinum,Active,2025-10-03,2030-10-02
CARD0178,CUST0724,ACC0906,Mastercard Standard,Expired,2024-02-22,2029-02-20
CARD0179,CUST0711,ACC0705,Visa Gold,Expired,2022-01-04,2027-01-03
CARD0180,CUST0636,ACC0326,Mastercard Standard,Blocked,2024-06-23,2029-06-22
CARD0181,CUST0641,ACC0872,Amex Platinum,Active,2021-12-09,2026-12-08
CARD0182,CUST0448,ACC0683,Mastercard Standard,Active,2022-01-11,2027-01-10
CARD0183,CUST0794,ACC0494,Visa Gold,Expired,2024-02-23,2029-02-21
CARD0184,CUST0408,ACC0070,Visa Gold,Active,2025-11-12,2030-11-11
CARD0185,CUST0591,ACC0344,Visa Gold,Expired,2023-06-19,2028-06-17
CARD0186,CUST0727,ACC0019,Visa Platinum,Active,2021-05-06,2026-05-05
CARD0187,CUST0647,ACC0624,Visa Gold,Expired,2025-06-13,2030-06-12
CARD0188,CUST0840,ACC0934,Visa Platinum,Expired,2022-04-22,2027-04-21
CARD0189,CUST0680,ACC0600,Visa Gold,Active,2022-01-01,2026-12-31
CARD0190,CUST0461,ACC0460,Visa Gold,Active,2024-02-29,2029-02-27
CARD0191,CUST0511,ACC0392,Mastercard Standard,Blocked,2023-08-06,2028-08-04
CARD0192,CUST0322,ACC0524,Amex Platinum,Active,2024-03-09,2029-03-08
CARD0193,CUST0353,ACC0656,Visa Gold,Active,2023-08-01,2028-07-30
CARD0194,CUST0381,ACC0760,Amex Platinum,Active,2023-07-03,2028-07-01
CARD0195,CUST0601,ACC0239,Visa Platinum,Blocked,2025-02-18,2030-02-17
CARD0196,CUST0415,ACC0516,Amex Platinum,Active,2021-03-28,2026-03-27
CARD0197,CUST0882,ACC0602,Amex Platinum,Active,2022-03-20,2027-03-19
CARD0198,CUST0653,ACC0722,Visa Gold,Active,2022-03-18,2027-03-17
CARD0199,CUST0557,ACC0014,Amex Platinum,Expired,2024-08-03,2029-08-02
CARD0200,CUST0601,ACC0239,Visa Gold,Expired,2021-06-01,2026-05-31
CARD0201,CUST0008,ACC0022,Visa Platinum,Active,2023-08-07,2028-08-05
CARD0202,CUST0655,ACC0632,Visa Gold,Blocked,2023-05-31,2028-05-29
CARD0203,CUST0186,ACC0778,Amex Platinum,Blocked,2022-11-01,2027-10-31
CARD0204,CUST0750,ACC0919,Mastercard Standard,Blocked,2022-07-23,2027-07-22
CARD0205,CUST0612,ACC0128,Visa Platinum,Active,2025-02-27,2030-02-26
CARD0206,CUST0007,ACC0317,Visa Gold,Active,2021-01-07,2026-01-06
CARD0207,CUST0120,ACC0243,Amex Platinum,Blocked,2022-01-16,2027-01-15
CARD0208,CUST0320,ACC0756,Visa Platinum,Expired,2025-08-29,2030-08-28
CARD0209,CUST0324,ACC0439,Visa Platinum,Expired,2023-12-20,2028-12-18
CARD0210,CUST0557,ACC0776,Visa Platinum,Expired,2021-07-29,2026-07-28
CARD0211,CUST0694,ACC0250,Visa Gold,Blocked,2021-05-19,2026-05-18
CARD0212,CUST0931,ACC0635,Mastercard Standard,Blocked,2024-07-21,2029-07-20
CARD0213,CUST0973,ACC0082,Visa Platinum,Expired,2025-02-03,2030-02-02
CARD0214,CUST0569,ACC0062,Mastercard Standard,Blocked,2025-11-16,2030-11-15
CARD0215,CUST0954,ACC0141,Visa Gold,Blocked,2023-08-21,2028-08-19
CARD0216,CUST0243,ACC0384,Amex Platinum,Expired,2025-10-24,2030-10-23
CARD0217,CUST0346,ACC0511,Amex Platinum,Blocked,2024-11-06,2029-11-05
CARD0218,CUST0634,ACC0304,Amex Platinum,Active,2023-11-16,2028-11-14
CARD0219,CUST0075,ACC0207,Visa Platinum,Blocked,2024-03-18,2029-03-17
CARD0220,CUST0037,ACC0156,Mastercard Standard,Active,2025-01-16,2030-01-15
CARD0221,CUST0276,ACC0385,Visa Gold,Active,2022-02-17,2027-02-16
CARD0222,CUST0349,ACC0210,Mastercard Standard,Expired,2022-03-07,2027-03-06
CARD0223,CUST0481,ACC0658,Visa Platinum,Expired,2025-04-18,2030-04-17
CARD0224,CUST0668,ACC0039,Visa Gold,Blocked,2024-12-03,2029-12-02
CARD0225,CUST0265,ACC0244,Mastercard Standard,Blocked,2024-10-29,2029-10-28
CARD0226,CUST0905,ACC0946,Mastercard Standard,Active,2024-10-27,2029-10-26
CARD0227,CUST0129,ACC0743,Amex Platinum,Expired,2022-04-08,2027-04-07
CARD0228,CUST0562,ACC0613,Mastercard Standard,Expired,2023-10-08,2028-10-06
CARD0229,CUST0628,ACC0969,Mastercard Standard,Blocked,2021-10-05,2026-10-04
CARD0230,CUST0261,ACC0455,Visa Platinum,Active,2024-06-26,2029-06-25
CARD0231,CUST0805,ACC0757,Visa Gold,Active,2024-04-18,2029-04-17
CARD0232,CUST0367,ACC0899,Amex Platinum,Expired,2022-12-25,2027-12-24
CARD0233,CUST0783,ACC0337,Visa Platinum,Blocked,2024-05-13,2029-05-12
CARD0234,CUST0207,ACC0138,Mastercard Standard,Blocked,2023-11-20,2028-11-18
CARD0235,CUST0765,ACC0285,Visa Gold,Blocked,2025-08-08,2030-08-07
CARD0236,CUST0636,ACC0326,Amex Platinum,Blocked,2021-05-23,2026-05-22
CARD0237,CUST0009,ACC0660,Amex Platinum,Expired,2024-10-08,2029-10-07
CARD0238,CUST0214,ACC0806,Visa Gold,Expired,2023-05-12,2028-05-10
CARD0239,CUST0197,ACC0779,Mastercard Standard,Blocked,2021-10-03,2026-10-02
CARD0240,CUST0260,ACC0041,Visa Gold,Blocked,2022-05-30,2027-05-29
CARD0241,CUST0909,ACC0534,Amex Platinum,Expired,2021-03-19,2026-03-18
CARD0242,CUST0320,ACC0811,Mastercard Standard,Active,2025-11-13,2030-11-12
CARD0243,CUST0154,ACC0425,Mastercard Standard,Expired,2023-08-18,2028-08-16
CARD0244,CUST0970,ACC0664,Mastercard Standard,Blocked,2025-10-10,2030-10-09
CARD0245,CUST0224,ACC0833,Visa Gold,Blocked,2022-01-20,2027-01-19
CARD0246,CUST0894,ACC0296,Visa Gold,Active,2025-10-04,2030-10-03
CARD0247,CUST0975,ACC0769,Mastercard Standard,Expired,2021-09-22,2026-09-21
CARD0248,CUST0121,ACC0025,Visa Platinum,Blocked,2022-08-21,2027-08-20
CARD0249,CUST0470,ACC0235,Amex Platinum,Blocked,2025-08-11,2030-08-10
CARD0250,CUST0347,ACC0868,Mastercard Standard,Expired,2025-11-28,2030-11-27
CARD0251,CUST0016,ACC0751,Visa Gold,Active,2021-06-14,2026-06-13
CARD0252,CUST0287,ACC0340,Visa Gold,Blocked,2025-11-07,2030-11-06
CARD0253,CUST0963,ACC0351,Amex Platinum,Active,2025-06-10,2030-06-09
CARD0254,CUST0226,ACC0249,Amex Platinum,Active,2022-08-12,2027-08-11
CARD0255,CUST0970,ACC0211,Visa Platinum,Expired,2025-01-18,2030-01-17
CARD0256,CUST0678,ACC0553,Visa Gold,Blocked,2025-04-11,2030-04-10
CARD0257,CUST0803,ACC0056,Visa Platinum,Expired,2021-02-27,2026-02-26
CARD0258,CUST0071,ACC0929,Amex Platinum,Blocked,2022-01-09,2027-01-08
CARD0259,CUST0795,ACC0940,Visa Gold,Blocked,2025-07-11,2030-07-10
CARD0260,CUST0904,ACC0681,Amex Platinum,Expired,2022-07-13,2027-07-12
CARD0261,CUST0423,ACC0255,Visa Gold,Expired,2021-02-28,2026-02-27
CARD0262,CUST0534,ACC0821,Visa Platinum,Expired,2023-05-05,2028-05-03
CARD0263,CUST0827,ACC0704,Mastercard Standard,Blocked,2022-10-02,2027-10-01
CARD0264,CUST0276,ACC0713,Visa Platinum,Blocked,2023-02-02,2028-02-01
CARD0265,CUST0023,ACC0737,Amex Platinum,Active,2025-12-06,2030-12-05
CARD0266,CUST0496,ACC0228,Amex Platinum,Active,2024-10-12,2029-10-11
CARD0267,CUST0468,ACC0623,Mastercard Standard,Active,2021-09-20,2026-09-19
CARD0268,CUST0751,ACC0894,Mastercard Standard,Blocked,2025-07-16,2030-07-15
CARD0269,CUST0189,ACC0391,Mastercard Standard,Blocked,2023-09-23,2028-09-21
CARD0270,CUST0909,ACC0534,Amex Platinum,Active,2024-06-02,2029-06-01
CARD0271,CUST0903,ACC0330,Visa Platinum,Blocked,2021-05-20,2026-05-19
CARD0272,CUST0356,ACC0188,Mastercard Standard,Active,2025-03-07,2030-03-06
CARD0273,CUST0221,ACC0453,Visa Gold,Active,2021-03-14,2026-03-13
CARD0274,CUST0423,ACC0645,Amex Platinum,Active,2023-11-23,2028-11-21
CARD0275,CUST0239,ACC0007,Amex Platinum,Expired,2024-09-19,2029-09-18
CARD0276,CUST0353,ACC0067,Visa Platinum,Blocked,2022-07-15,2027-07-14
CARD0277,CUST0825,ACC0891,Visa Platinum,Blocked,2024-07-13,2029-07-12
CARD0278,CUST0980,ACC0504,Mastercard Standard,Active,2021-03-16,2026-03-15
CARD0279,CUST0142,ACC0072,Amex Platinum,Blocked,2025-06-29,2030-06-28
CARD0280,CUST0536,ACC0977,Visa Gold,Active,2023-09-14,2028-09-12
CARD0281,CUST0414,ACC0198,Mastercard Standard,Active,2024-04-01,2029-03-31
CARD0282,CUST0424,ACC0054,Visa Platinum,Blocked,2023-03-11,2028-03-09
CARD0283,CUST0001,ACC0650,Visa Gold,Expired,2021-10-10,2026-10-09
CARD0284,CUST0200,ACC0145,Visa Platinum,Active,2021-12-23,2026-12-22
CARD0285,CUST0397,ACC0961,Mastercard Standard,Expired,2021-11-05,2026-11-04
CARD0286,CUST0349,ACC0210,Visa Gold,Blocked,2025-08-11,2030-08-10
CARD0287,CUST0059,ACC0129,Visa Platinum,Active,2022-06-07,2027-06-06
CARD0288,CUST0701,ACC0094,Amex Platinum,Blocked,2023-06-06,2028-06-04
CARD0289,CUST0942,ACC0178,Amex Platinum,Expired,2022-03-24,2027-03-23
CARD0290,CUST0479,ACC0607,Mastercard Standard,Blocked,2022-07-22,2027-07-21
CARD0291,CUST0106,ACC0563,Visa Gold,Active,2023-03-05,2028-03-03
CARD0292,CUST0596,ACC0852,Visa Platinum,Expired,2021-10-06,2026-10-05
CARD0293,CUST0645,ACC0815,Visa Platinum,Active,2022-04-25,2027-04-24
CARD0294,CUST0739,ACC0955,Amex Platinum,Blocked,2023-08-12,2028-08-10
CARD0295,CUST0349,ACC0210,Mastercard Standard,Blocked,2024-06-19,2029-06-18
CARD0296,CUST0494,ACC0242,Visa Gold,Expired,2022-06-10,2027-06-09
CARD0297,CUST0082,ACC0520,Amex Platinum,Active,2021-07-03,2026-07-02
CARD0298,CUST0717,ACC0081,Amex Platinum,Expired,2023-10-08,2028-10-06
CARD0299,CUST0547,ACC0437,Amex Platinum,Active,2022-07-18,2027-07-17
CARD0300,CUST0129,ACC0743,Visa Platinum,Active,2021-03-26,2026-03-25
CARD0301,CUST0621,ACC0479,Mastercard Standard,Expired,2021-07-01,2026-06-30
CARD0302,CUST0878,ACC0319,Amex Platinum,Blocked,2023-07-15,2028-07-13
CARD0303,CUST0405,ACC0169,Amex Platinum,Expired,2024-04-26,2029-04-25
CARD0304,CUST0996,ACC0739,Visa Platinum,Expired,2021-11-03,2026-11-02
CARD0305,CUST0417,ACC0203,Visa Gold,Expired,2023-09-22,2028-09-20
CARD0306,CUST0719,ACC0251,Visa Gold,Active,2022-03-19,2027-03-18
CARD0307,CUST0646,ACC0435,Visa Gold,Expired,2024-07-06,2029-07-05
CARD0308,CUST0292,ACC0181,Visa Platinum,Expired,2023-10-05,2028-10-03
CARD0309,CUST0606,ACC0621,Visa Platinum,Blocked,2023-03-13,2028-03-11
CARD0310,CUST0423,ACC0255,Mastercard Standard,Expired,2024-03-12,2029-03-11
CARD0311,CUST0081,ACC0311,Visa Gold,Blocked,2022-01-11,2027-01-10
CARD0312,CUST0241,ACC0293,Visa Platinum,Blocked,2021-06-11,2026-06-10
CARD0313,CUST0454,ACC0591,Visa Gold,Blocked,2022-09-22,2027-09-21
CARD0314,CUST0461,ACC0460,Mastercard Standard,Active,2023-01-15,2028-01-14
CARD0315,CUST0102,ACC0991,Amex Platinum,Active,2025-12-26,2030-12-25
CARD0316,CUST0536,ACC0651,Visa Gold,Active,2023-01-05,2028-01-04
