WalletID,CustomerID,CardID,WalletProvider,Status
WAL0116,CUST0274,CARD0928,Venmo,Unlinked
WAL0117,CUST0791,CARD0636,Google Pay,Unlinked
WAL0118,CUST0274,CARD0411,PayPal,Unlinked
WAL0119,CUST0080,CARD0129,PayPal,Active
WAL0120,CUST0788,CARD0938,PayPal,Active
WAL0121,CUST0509,CARD0961,Google Pay,Linked
WAL0122,CUST0173,CARD0583,Samsung Pay,Unlinked
WAL0123,CUST0225,CARD0963,Venmo,Unlinked
WAL0124,CUST0276,CARD0848,Apple Pay,Active
WAL0125,CUST0354,CARD0796,PayPal,Active
WAL0126,CUST0439,CARD0559,Google Pay,Unlinked
WAL0127,CUST0800,CARD0944,Apple Pay,Active
WAL0128,CUST0344,CARD0997,Apple Pay,Linked
WAL0129,CUST0816,CARD0837,Google Pay,Linked
WAL0130,CUST0202,CARD0035,PayPal,Active
WAL0131,CUST0514,CARD0665,Google Pay,Unlinked
WAL0132,CUST0844,CARD0878,Venmo,Unlinked
WAL0133,CUST0399,CARD0379,Samsung Pay,Active
WAL0134,CUST0587,CARD0412,PayPal,Active
WAL0135,CUST0262,CARD0547,Samsung Pay,Linked
WAL0136,CUST0460,CARD0135,PayPal,Active
WAL0137,CUST0584,CARD0901,Apple Pay,Active
WAL0138,CUST0780,CARD0005,Samsung Pay,Active
WAL0139,CUST0012,CARD0088,Venmo,Active
WAL0140,CUST0170,CARD0486,PayPal,Active
WAL0141,CUST0368,CARD0675,Samsung Pay,Active
WAL0142,CUST0896,CARD0374,Samsung Pay,Unlinked
WAL0143,CUST0301,CARD0252,Venmo,Linked
WAL0144,CUST0792,CARD0644,PayPal,Linked
WAL0145,CUST0549,CARD0958,Venmo,Unlinked
WAL0146,CUST0379,CARD0003,Google Pay,Unlinked
WAL0147,CUST0764,CARD0460,Apple Pay,Linked
WAL0148,CUST0231,CARD0631,Venmo,Unlinked
WAL0149,CUST0388,CARD0419,Google Pay,Active
WAL0150,CUST0863,CARD0419,Venmo,Unlinked
WAL0151,CUST0780,CARD0103,Venmo,Linked
WAL0152,CUST0141,CARD0959,PayPal,Active
WAL0153,CUST0429,CARD0539,Venmo,Active
WAL0154,CUST0573,CARD0441,Venmo,Linked
WAL0155,CUST0582,CARD0586,Samsung Pay,Unlinked
WAL0156,CUST0043,CARD0342,Venmo,Active
WAL0157,CUST0288,CARD0492,Apple Pay,Active
WAL0158,CUST0705,CARD0157,Samsung Pay,Linked
WAL0159,CUST0479,CARD0776,Venmo,Active
WAL0160,CUST0178,CARD0783,Venmo,Active
WAL0161,CUST0203,CARD0668,PayPal,Linked
WAL0162,CUST0529,CARD0938,Apple Pay,Linked
WAL0163,CUST0445,CARD0751,Venmo,Linked
WAL0164,CUST0752,CARD0658,Venmo,Active
WAL0165,CUST0724,CARD0987,Samsung Pay,Active
WAL0166,CUST0273,CARD0790,Samsung Pay,Linked
WAL0167,CUST0065,CARD0298,Apple Pay,Active
WAL0168,CUST0669,CARD0870,Samsung Pay,Linked
WAL0169,CUST0013,CARD0867,Venmo,Linked
WAL0170,CUST0981,CARD0007,Google Pay,Unlinked
WAL0171,CUST0004,CARD0318,Google Pay,Unlinked
WAL0172,CUST0610,CARD0254,PayPal,Unlinked
WAL0173,CUST0348,CARD0815,PayPal,Active
WAL0174,CUST0233,CARD0962,Samsung Pay,Active
WAL0175,CUST0513,CARD0315,Google Pay,Active
WAL0176,CUST0896,CARD0503,Google Pay,Linked
WAL0177,CUST0346,CARD0264,Google Pay,Linked
WAL0178,CUST0641,CARD0124,Google Pay,Active
WAL0179,CUST0907,CARD0728,Venmo,Active
WAL0180,CUST0321,CARD0168,Samsung Pay,Unlinked
WAL0181,CUST0494,CARD0326,PayPal,Unlinked
WAL0182,CUST0760,CARD0231,Apple Pay,Active
WAL0183,CUST0967,CARD0988,Google Pay,Active
WAL0184,CUST0275,CARD0075,Apple Pay,Active
WAL0185,CUST0179,CARD0673,Google Pay,Active
WAL0186,CUST0094,CARD0199,Venmo,Linked
WAL0187,CUST0401,CARD0494,Venmo,Active
WAL0188,CUST0744,CARD0677,Venmo,Active
WAL0189,CUST0286,CARD0634,Apple Pay,Linked
WAL0190,CUST0241,CARD0324,Apple Pay,Active
WAL0191,CUST0329,CARD0871,Samsung Pay,Unlinked
WAL0192,CUST0799,CARD0415,Venmo,Active
WAL0193,CUST0605,CARD0100,Samsung Pay,Active
WAL0194,CUST0618,CARD0014,Venmo,Unlinked
WAL0195,CUST0017,CARD0054,Samsung Pay,Active
WAL0196,CUST0856,CARD0509,Google Pay,Active
WAL0197,CUST0818,CARD0502,Samsung Pay,Linked
WAL0198,CUST0034,CARD0508,Apple Pay,Linked
WAL0199,CUST0596,CARD0202,Apple Pay,Active
WAL0200,CUST0800,CARD0658,Apple Pay,Unlinked
WAL0201,CUST0226,CARD0174,Google Pay,Active
WAL0202,CUST0489,CARD0076,PayPal,Active
WAL0203,CUST0547,CARD0509,PayPal,Unlinked
WAL0204,CUST0080,CARD0994,Google Pay,Unlinked
WAL0205,CUST0269,CARD0359,Google Pay,Unlinked
WAL0206,CUST0689,CARD0064,Google Pay,Active
WAL0207,CUST0438,CARD0232,Venmo,Active
WAL0208,CUST0052,CARD0430,Venmo,Active
WAL0209,CUST0313,CARD0089,Samsung Pay,Active
WAL0210,CUST0501,CARD0776,PayPal,Linked
WAL0211,CUST0867,CARD0590,Samsung Pay,Unlinked
WAL0212,CUST0664,CARD0781,Google Pay,Linked
WAL0213,CUST0651,CARD0680,Google Pay,Active
WAL0214,CUST0421,CARD0184,Samsung Pay,Active
WAL0215,CUST0755,CARD0990,PayPal,Unlinked
WAL0216,CUST0097,CARD0047,PayPal,Active
WAL0217,CUST0301,CARD0151,Venmo,Active
WAL0218,CUST0228,CARD0712,PayPal,Active
WAL0219,CUST0467,CARD0342,Apple Pay,Unlinked
WAL0220,CUST0518,CARD0854,Venmo,Active
WAL0221,CUST0980,CARD0637,Venmo,Linked
WAL0222,CUST0929,CARD0763,Venmo,Active
WAL0223,CUST0536,CARD0856,Google Pay,Unlinked
WAL0224,CUST0269,CARD0598,Google Pay,Linked
WAL0225,CUST0283,CARD0612,Google Pay,Active
WAL0226,CUST0218,CARD0740,PayPal,Active
WAL0227,CUST0469,CARD0073,Venmo,Active
WAL0228,CUST0053,CARD0605,Venmo,Active
WAL0229,CUST0406,CARD0204,PayPal,Unlinked
WAL0230,CUST0746,CARD0529,Apple Pay,Unlinked
WAL0231,CUST0385,CARD0496,Samsung Pay,Linked
WAL0232,CUST0085,CARD0199,Venmo,Linked
WAL0233,CUST0556,CARD0216,Samsung Pay,Linked
WAL0234,CUST0771,CARD0471,Apple Pay,Unlinked
WAL0235,CUST0463,CARD0042,PayPal,Linked
WAL0236,CUST0864,CARD0195,Venmo,Linked
WAL0237,CUST0668,CARD0306,Apple Pay,Active
WAL0238,CUST0987,CARD0750,PayPal,Active
WAL0239,CUST0877,CARD0189,Apple Pay,Linked
WAL0240,CUST0360,CARD0830,Google Pay,Active
WAL0241,CUST0900,CARD0301,Samsung Pay,Unlinked
WAL0242,CUST0426,CARD0873,Venmo,Linked
WAL0243,CUST0263,CARD0318,Samsung Pay,Linked
WAL0244,CUST0918,CARD0282,PayPal,Linked
WAL0245,CUST0425,CARD0867,Samsung Pay,Unlinked
WAL0246,CUST0870,CARD0460,PayPal,Linked
WAL0247,CUST0479,CARD0294,Venmo,Linked
WAL0248,CUST0135,CARD0564,Venmo,Active
WAL0249,CUST0696,CARD0624,Venmo,Active
WAL0250,CUST0898,CARD0001,Samsung Pay,Linked
WAL0251,CUST0398,CARD0799,PayPal,Unlinked
WAL0252,CUST0774,CARD0278,Apple Pay,Unlinked
WAL0253,CUST0240,CARD0506,Samsung Pay,Linked
WAL0254,CUST0414,CARD0442,Venmo,Linked
WAL0255,CUST0567,CARD0027,PayPal,Active
WAL0256,CUST0947,CARD0455,PayPal,Linked
WAL0257,CUST0829,CARD0768,Venmo,Active
WAL0258,CUST0923,CARD0982,Samsung Pay,Unlinked
WAL0259,CUST0988,CARD0548,Venmo,Active
WAL0260,CUST0801,CARD0426,PayPal,Unlinked
WAL0261,CUST0069,CARD0887,Google Pay,Unlinked
WAL0262,CUST0377,CARD0132,Venmo,Linked
WAL0263,CUST0675,CARD0794,Google Pay,Active
WAL0264,CUST0305,CARD0231,Apple Pay,Linked
WAL0265,CUST0904,CARD0323,Venmo,Linked
WAL0266,CUST0711,CARD0068,PayPal,Unlinked
WAL0267,CUST0090,CARD0946,Google Pay,Unlinked
WAL0268,CUST0532,CARD0992,Google Pay,Linked
WAL0269,CUST0382,CARD0907,PayPal,Unlinked
WAL0270,CUST0837,CARD0006,Apple Pay,Active
WAL0271,CUST0530,CARD0709,Apple Pay,Linked
WAL0272,CUST0765,CARD0858,Venmo,Unlinked
WAL0273,CUST0624,CARD0482,Apple Pay,Unlinked
WAL0274,CUST0585,CARD0424,Venmo,Unlinked
WAL0275,CUST0035,CARD0330,Google Pay,Unlinked
WAL0276,CUST0961,CARD0079,PayPal,Unlinked
WAL0277,CUST0062,CARD0797,Apple Pay,Linked
WAL0278,CUST0153,CARD0776,PayPal,Active
WAL0279,CUST0464,CARD0623,PayPal,Unlinked
WAL0280,CUST0487,CARD0074,Google Pay,Linked
WAL0281,CUST0947,CARD0806,Apple Pay,Active
WAL0282,CUST0713,CARD0483,Apple Pay,Linked
WAL0283,CUST0171,CARD0645,PayPal,Linked
WAL0284,CUST0591,CARD0035,Samsung Pay,Active
WAL0285,CUST0864,CARD0941,Samsung Pay,Linked
WAL0286,CUST0113,CARD0705,Samsung Pay,Unlinked
WAL0287,CUST0012,CARD0571,PayPal,Active
WAL0288,CUST0796,CARD0874,Venmo,Linked
WAL0289,CUST0530,CARD0800,PayPal,Linked
WAL0290,CUST0316,CARD0999,Samsung Pay,Linked
WAL0291,CUST0343,CARD0366,Samsung Pay,Linked
WAL0292,CUST0042,CARD0092,PayPal,Unlinked
WAL0293,CUST0715,CARD0495,Venmo,Active
WAL0294,CUST0466,CARD0712,PayPal,Linked
WAL0295,CUST0666,CARD0245,Samsung Pay,Linked
WAL0296,CUST0862,CARD0985,Samsung Pay,Linked
WAL0297,CUST0858,CARD0674,Samsung Pay,Active
WAL0298,CUST0576,CARD0171,PayPal,Linked
WAL0299,CUST0395,CARD0885,Samsung Pay,Active
WAL0300,CUST0021,CARD0552,Apple Pay,Unlinked
WAL0301,CUST0298,CARD0608,Google Pay,Unlinked
WAL0302,CUST1000,CARD0356,Samsung Pay,Active
WAL0303,CUST0242,CARD0081,PayPal,Unlinked
WAL0304,CUST0373,CARD0275,PayPal,Linked
WAL0305,CUST0422,CARD0361,Samsung Pay,Linked
WAL0306,CUST0771,CARD0393,Apple Pay,Linked
WAL0307,CUST0904,CARD0198,Apple Pay,Active
WAL0308,CUST0439,CARD0995,Apple Pay,Linked
WAL0309,CUST0035,CARD0262,PayPal,Linked
WAL0310,CUST0346,CARD0038,Venmo,Linked
WAL0311,CUST0922,CARD0620,PayPal,Active
WAL0312,CUST0038,CARD0834,Samsung Pay,Active
WAL0313,CUST0234,CARD0076,Venmo,Linked
WAL0314,CUST0723,CARD0572,PayPal,Unlinked
WAL0315,CUST0254,CARD0814,Venmo,Unlinked
WAL0316,CUST0455,CARD0363,Google Pay,Linked
WAL0317,CUST0274,CARD0522,Samsung Pay,Active
WAL0318,CUST0937,CARD0002,Apple Pay,Linked
WAL0319,CUST0436,CARD0353,Samsung Pay,Linked
WAL0320,CUST0607,CARD0355,Apple Pay,Linked
WAL0321,CUST0522,CARD0558,PayPal,Linked
WAL0322,CUST0252,CARD0760,PayPal,Linked
WAL0323,CUST0217,CARD0081,Samsung Pay,Unlinked
WAL0324,CUST0028,CARD0747,Samsung Pay,Linked
WAL0325,CUST0406,CARD0755,Samsung Pay,Unlinked
WAL0326,CUST0495,CARD0828,Apple Pay,Active
WAL0327,CUST0661,CARD0098,Google Pay,Linked
WAL0328,CUST0451,CARD0329,Google Pay,Active
WAL0329,CUST0682,CARD0917,Samsung Pay,Unlinked
WAL0330,CUST0217,CARD0856,Samsung Pay,Unlinked
WAL0331,CUST0023,CARD0463,Samsung Pay,Unlinked
WAL0332,CUST0838,CARD0267,Apple Pay,Unlinked
WAL0333,CUST0415,CARD0278,Venmo,Unlinked
WAL0334,CUST0483,CARD0736,Venmo,Linked
WAL0335,CUST0718,CARD0820,Venmo,Active
WAL0336,CUST0811,CARD0635,PayPal,Unlinked
WAL0337,CUST0909,CARD0402,Samsung Pay,Unlinked
WAL0338,CUST0927,CARD0686,Apple Pay,Unlinked
WAL0339,CUST0124,CARD0375,Google Pay,Linked
WAL0340,CUST0562,CARD0255,Google Pay,Unlinked
WAL0341,CUST0956,CARD0617,Google Pay,Active
WAL0342,CUST0139,CARD0683,Venmo,Active
WAL0343,CUST0188,CARD0120,PayPal,Linked
WAL0344,CUST0753,CARD0944,Venmo,Active
WAL0345,CUST0188,CARD0408,PayPal,Unlinked
WAL0346,CUST0431,CARD0049,Apple Pay,Linked
WAL0347,CUST0421,CARD0663,Venmo,Linked
WAL0348,CUST0910,CARD0504,Google Pay,Unlinked
WAL0349,CUST0879,CARD0841,Samsung Pay,Active
WAL0350,CUST0487,CARD0485,PayPal,Linked
WAL0351,CUST0934,CARD0003,Apple Pay,Active
WAL0352,CUST0589,CARD0052,Apple Pay,Linked
WAL0353,CUST0658,CARD0292,PayPal,Linked
WAL0354,CUST0288,CARD0012,Apple Pay,Active
WAL0355,CUST0795,CARD0602,Google Pay,Active
WAL0356,CUST0084,CARD0252,PayPal,Unlinked
WAL0357,CUST0630,CARD0914,Google Pay,Linked
WAL0358,CUST0017,CARD0849,Apple Pay,Unlinked
WAL0359,CUST0790,CARD0821,Venmo,Unlinked
WAL0360,CUST0525,CARD0013,Samsung Pay,Linked
WAL0361,CUST0463,CARD0735,Samsung Pay,Active
WAL0362,CUST0521,CARD0319,Google Pay,Unlinked
WAL0363,CUST0663,CARD0327,Google Pay,Unlinked
WAL0364,CUST0520,CARD0915,Venmo,Unlinked
WAL0365,CUST0442,CARD0320,PayPal,Active
WAL0366,CUST0337,CARD0121,Apple Pay,Linked
WAL0367,CUST0224,CARD0553,Google Pay,Linked
WAL0368,CUST0515,CARD0283,Apple Pay,Active
WAL0369,CUST0779,CARD0019,Samsung Pay,Unlinked
WAL0370,CUST0338,CARD0780,Apple Pay,Linked
WAL0371,CUST0693,CARD0255,Venmo,Linked
WAL0372,CUST0613,CARD0619,Venmo,Unlinked
WAL0373,CUST0828,CARD0946,Venmo,Linked
WAL0374,CUST0847,CARD0808,Google Pay,Unlinked
WAL0375,CUST0048,CARD0729,Apple Pay,Unlinked
WAL0376,CUST0397,CARD0560,Venmo,Linked
WAL0377,CUST0483,CARD0154,Samsung Pay,Active
WAL0378,CUST0770,CARD0183,Apple Pay,Unlinked
WAL0379,CUST0211,CARD0084,Google Pay,Unlinked
WAL0380,CUST0587,CARD0824,Samsung Pay,Active
WAL0381,CUST0425,CARD0553,Venmo,Linked
WAL0382,CUST0210,CARD0025,Apple Pay,Active
WAL0383,CUST0312,CARD0698,Venmo,Linked
WAL0384,CUST0697,CARD0215,PayPal,Unlinked
WAL0385,CUST0833,CARD0603,Apple Pay,Unlinked
WAL0386,CUST0174,CARD0392,Venmo,Active
WAL0387,CUST0714,CARD0404,PayPal,Linked
WAL0388,CUST0528,CARD0788,Venmo,Unlinked
WAL0389,CUST0711,CARD0165,PayPal,Linked
WAL0390,CUST0633,CARD0786,Venmo,Unlinked
WAL0391,CUST0890,CARD0963,PayPal,Unlinked
WAL0392,CUST0869,CARD0757,Google Pay,Active
WAL0393,CUST0516,CARD0749,Samsung Pay,Unlinked
WAL0394,CUST0775,CARD0041,Samsung Pay,Unlinked
WAL0395,CUST0494,CARD0245,Google Pay,Unlinked
WAL0396,CUST0410,CARD0527,Venmo,Unlinked
WAL0397,CUST0025,CARD0381,Samsung Pay,Active
WAL0398,CUST0760,CARD0938,Apple Pay,Linked
WAL0399,CUST0865,CARD0841,Google Pay,Active
WAL0400,CUST0323,CARD0558,Samsung Pay,Linked
WAL0401,CUST0818,CARD0568,PayPal,Active
WAL0402,CUST0653,CARD0409,Venmo,Unlinked
WAL0403,CUST0331,CARD0701,Samsung Pay,Unlinked
WAL0404,CUST0869,CARD0972,Venmo,Active
WAL0405,CUST0023,CARD0286,Apple Pay,Active
WAL0406,CUST0865,CARD0644,Samsung Pay,Linked
WAL0407,CUST0687,CARD0996,Samsung Pay,Unlinked
WAL0408,CUST0653,CARD0711,Apple Pay,Unlinked
WAL0409,CUST0310,CARD0762,PayPal,Active
WAL0410,CUST0585,CARD0022,Google Pay,Unlinked
WAL0411,CUST0142,CARD0676,Samsung Pay,Linked
WAL0412,CUST0143,CARD0456,PayPal,Active
WAL0413,CUST0849,CARD0547,PayPal,Active
WAL0414,CUST0121,CARD0554,Samsung Pay,Active
WAL0415,CUST0712,CARD0013,Venmo,Active
WAL0416,CUST0467,CARD0156,Apple Pay,Linked
WAL0417,CUST0061,CARD0402,Venmo,Active
WAL0418,CUST0269,CARD0330,Samsung Pay,Linked
WAL0419,CUST0664,CARD0162,PayPal,Active
WAL0420,CUST0878,CARD0623,Google Pay,Linked
WAL0421,CUST0575,CARD0715,Venmo,Active
WAL0422,CUST0433,CARD0347,Samsung Pay,Linked
WAL0423,CUST0784,CARD0093,Apple Pay,Unlinked
WAL0424,CUST0717,CARD0995,Samsung Pay,Active
WAL0425,CUST0784,CARD0923,Venmo,Active
WAL0426,CUST0080,CARD0392,Venmo,Active
WAL0427,CUST0559,CARD0290,Apple Pay,Linked
WAL0428,CUST0886,CARD0709,Google Pay,Unlinked
WAL0429,CUST0412,CARD0448,PayPal,Unlinked
WAL0430,CUST0700,CARD0727,Apple Pay,Linked
WAL0431,CUST0741,CARD0615,Google Pay,Linked
WAL0432,CUST0454,CARD0212,Venmo,Unlinked
WAL0433,CUST0031,CARD0888,Samsung Pay,Unlinked
WAL0434,CUST0417,CARD0209,Samsung Pay,Active
WAL0435,CUST0401,CARD0740,Google Pay,Unlinked
WAL0436,CUST0211,CARD0243,Apple Pay,Active
WAL0437,CUST0192,CARD0351,Google Pay,Linked
WAL0438,CUST0860,CARD0739,Apple Pay,Unlinked
WAL0439,CUST0063,CARD0428,Samsung Pay,Linked
WAL0440,CUST0781,CARD0136,Venmo,Unlinked
WAL0441,CUST0072,CARD0205,Venmo,Active
WAL0442,CUST0412,CARD0057,Google Pay,Active
WAL0443,CUST0782,CARD0955,Samsung Pay,Active
WAL0444,CUST0167,CARD0195,Venmo,Active
WAL0445,CUST0592,CARD0620,Samsung Pay,Linked
WAL0446,CUST0954,CARD0480,Venmo,Linked
WAL0447,CUST0986,CARD0308,Apple Pay,Active
WAL0448,CUST0693,CARD0270,PayPal,Unlinked
WAL0449,CUST0918,CARD0871,Google Pay,Linked
WAL0450,CUST0901,CARD0022,Samsung Pay,Linked
WAL0451,CUST0016,CARD0516,Google Pay,Linked
WAL0452,CUST0486,CARD0930,Apple Pay,Active
WAL0453,CUST0197,CARD0520,Google Pay,Linked
WAL0454,CUST0967,CARD0922,Apple Pay,Unlinked
WAL0455,CUST0830,CARD0055,Venmo,Linked
WAL0456,CUST0595,CARD0781,PayPal,Active
WAL0457,CUST0596,CARD0788,PayPal,Unlinked
WAL0458,CUST0182,CARD0861,PayPal,Unlinked
WAL0459,CUST0786,CARD0443,Samsung Pay,Unlinked
WAL0460,CUST0858,CARD0500,Venmo,Active
WAL0461,CUST0522,CARD0044,PayPal,Linked
WAL0462,CUST0860,CARD0518,PayPal,Unlinked
WAL0463,CUST0631,CARD0738,Samsung Pay,Linked
WAL0464,CUST0083,CARD0989,Venmo,Linked
WAL0465,CUST0690,CARD0620,Samsung Pay,Linked
WAL0466,CUST0581,CARD0572,Apple Pay,Active
WAL0467,CUST0836,CARD0495,Samsung Pay,Active
WAL0468,CUST0550,CARD0993,Apple Pay,Unlinked
WAL0469,CUST0953,CARD0044,Venmo,Active
WAL0470,CUST0164,CARD0611,PayPal,Linked
WAL0471,CUST0503,CARD0173,Samsung Pay,Active
WAL0472,CUST0123,CARD0043,Venmo,Unlinked
WAL0473,CUST0576,CARD0696,Google Pay,Unlinked
WAL0474,CUST0158,CARD0733,Google Pay,Unlinked
WAL0475,CUST0429,CARD0121,Apple Pay,Unlinked
WAL0476,CUST0720,CARD0614,Venmo,Linked
WAL0477,CUST0331,CARD0717,Venmo,Active
WAL0478,CUST0989,CARD0630,Google Pay,Active
WAL0479,CUST0905,CARD0095,Venmo,Linked
WAL0480,CUST0788,CARD0554,Samsung Pay,Unlinked
WAL0481,CUST0209,CARD0860,Venmo,Linked
WAL0482,CUST0792,CARD0741,PayPal,Unlinked
WAL0483,CUST0824,CARD0843,Venmo,Unlinked
WAL0484,CUST0239,CARD0710,Samsung Pay,Active
WAL0485,CUST0475,CARD0645,Apple Pay,Unlinked
WAL0486,CUST0093,CARD0907,Venmo,Active
WAL0487,CUST0469,CARD0289,PayPal,Active
WAL0488,CUST0756,CARD0887,Google Pay,Unlinked
WAL0489,CUST0937,CARD0228,Google Pay,Linked
WAL0490,CUST0945,CARD0081,Google Pay,Unlinked
