AccountID,CustomerID,AccountType,Currency,Status
ACC0242,CUST0494,Checking,EUR,Closed
ACC0243,CUST0120,Loan,EUR,Closed
ACC0244,CUST0265,Checking,GBP,Active
ACC0245,CUST0070,Checking,CAD,Closed
ACC0246,CUST0392,Loan,AUD,Closed
ACC0247,CUST0649,Credit,EUR,Closed
ACC0248,CUST0808,Credit,AUD,Closed
ACC0249,CUST0226,Loan,EUR,Suspended
ACC0250,CUST0694,Checking,AUD,Suspended
ACC0251,CUST0719,Checking,USD,Active
ACC0252,CUST0236,Checking,CAD,Active
ACC0253,CUST0820,Checking,USD,Closed
ACC0254,CUST0324,Checking,USD,Active
ACC0255,CUST0423,Credit,CAD,Suspended
ACC0256,CUST0979,Checking,INR,Suspended
ACC0257,CUST0362,Loan,AUD,Closed
ACC0258,CUST0529,Checking,USD,Closed
ACC0259,CUST0549,Checking,CAD,Suspended
ACC0260,CUST0010,Credit,AUD,Closed
ACC0261,CUST0718,Savings,CAD,Closed
ACC0262,CUST0853,Savings,CAD,Active
ACC0263,CUST0270,Checking,INR,Suspended
ACC0264,CUST0255,Credit,USD,Active
ACC0265,CUST0295,Checking,CAD,Active
ACC0266,CUST0096,Savings,CAD,Active
ACC0267,CUST0409,Credit,EUR,Active
ACC0268,CUST0690,Loan,USD,Active
ACC0269,CUST0767,Loan,AUD,Suspended
ACC0270,CUST0841,Credit,USD,Suspended
ACC0271,CUST0351,Loan,INR,Suspended
ACC0272,CUST0078,Credit,INR,Suspended
ACC0273,CUST0568,Checking,CAD,Closed
ACC0274,CUST0954,Checking,EUR,Active
ACC0275,CUST0183,Savings,EUR,Suspended
ACC0276,CUST0488,Checking,GBP,Closed
ACC0277,CUST0322,Checking,GBP,Suspended
ACC0278,CUST0363,Savings,EUR,Closed
ACC0279,CUST0224,Credit,INR,Active
ACC0280,CUST0916,Checking,USD,Suspended
ACC0281,CUST0588,Checking,USD,Closed
ACC0282,CUST0276,Checking,CAD,Suspended
ACC0283,CUST0188,Savings,INR,Suspended
ACC0284,CUST0970,Credit,GBP,Closed
ACC0285,CUST0765,Savings,EUR,Active
ACC0286,CUST0700,Loan,INR,Suspended
ACC0287,CUST0953,Checking,CAD,Active
ACC0288,CUST0932,Loan,AUD,Suspended
ACC0289,CUST0195,Credit,INR,Suspended
ACC0290,CUST0511,Checking,AUD,Closed
ACC0291,CUST0755,Loan,USD,Suspended
ACC0292,CUST0205,Loan,CAD,Suspended
ACC0293,CUST0241,Loan,CAD,Active
ACC0294,CUST0754,Checking,EUR,Closed
ACC0295,CUST0248,Checking,INR,Closed
ACC0296,CUST0894,Checking,CAD,Active
ACC0297,CUST0272,Checking,EUR,Closed
ACC0298,CUST0212,Savings,GBP,Closed
ACC0299,CUST0235,Loan,INR,Active
ACC0300,CUST0208,Savings,CAD,Closed
ACC0301,CUST0855,Credit,INR,Closed
ACC0302,CUST0256,Loan,INR,Active
ACC0303,CUST0857,Checking,USD,Suspended
ACC0304,CUST0634,Checking,INR,Closed
ACC0305,CUST0365,Checking,USD,Suspended
ACC0306,CUST0160,Savings,CAD,Suspended
ACC0307,CUST0798,Checking,INR,Closed
ACC0308,CUST0110,Loan,GBP,Closed
ACC0309,CUST0123,Loan,AUD,Suspended
ACC0310,CUST0943,Credit,USD,Closed
ACC0311,CUST0081,Loan,GBP,Active
ACC0312,CUST0693,Checking,CAD,Closed
ACC0313,CUST0979,Loan,GBP,Active
ACC0314,CUST0680,Loan,INR,Suspended
ACC0315,CUST0505,Savings,AUD,Suspended
ACC0316,CUST0629,Loan,AUD,Active
ACC0317,CUST0007,Credit,AUD,Suspended
ACC0318,CUST0783,Loan,EUR,Suspended
ACC0319,CUST0878,Savings,INR,Suspended
ACC0320,CUST0555,Savings,USD,Active
ACC0321,CUST0981,Loan,AUD,Active
ACC0322,CUST0044,Loan,GBP,Suspended
ACC0323,CUST0869,Savings,INR,Active
ACC0324,CUST0494,Checking,USD,Active
ACC0325,CUST0381,Loan,AUD,Suspended
ACC0326,CUST0636,Savings,INR,Closed
ACC0327,CUST0323,Loan,GBP,Suspended
ACC0328,CUST0505,Savings,USD,Closed
ACC0329,CUST0920,Checking,USD,Suspended
ACC0330,CUST0903,Credit,CAD,Active
ACC0331,CUST0919,Loan,GBP,Suspended
ACC0332,CUST0589,Loan,CAD,Active
ACC0333,CUST0890,Credit,AUD,Suspended
ACC0334,CUST0282,Credit,USD,Suspended
ACC0335,CUST0503,Loan,GBP,Closed
ACC0336,CUST0188,Checking,GBP,Suspended
ACC0337,CUST0783,Loan,EUR,Suspended
ACC0338,CUST0938,Credit,INR,Closed
ACC0339,CUST0524,Savings,AUD,Suspended
ACC0340,CUST0287,Checking,INR,Active
ACC0341,CUST0408,Loan,USD,Active
ACC0342,CUST0228,Loan,AUD,Closed
ACC0343,CUST0769,Savings,INR,Suspended
ACC0344,CUST0591,Savings,EUR,Closed
ACC0345,CUST0132,Checking,EUR,Active
ACC0346,CUST0056,Checking,GBP,Suspended
ACC0347,CUST0539,Loan,EUR,Suspended
ACC0348,CUST0819,Loan,AUD,Closed
ACC0349,CUST0434,Credit,USD,Closed
ACC0350,CUST0490,Loan,INR,Closed
ACC0351,CUST0963,Savings,CAD,Closed
ACC0352,CUST0554,Checking,INR,Suspended
ACC0353,CUST0034,Loan,AUD,Suspended
ACC0354,CUST0515,Checking,INR,Closed
ACC0355,CUST0356,Loan,EUR,Active
ACC0356,CUST0404,Savings,INR,Active
ACC0357,CUST0882,Credit,EUR,Closed
ACC0358,CUST0703,Credit,GBP,Closed
ACC0359,CUST0795,Checking,GBP,Active
ACC0360,CUST0179,Savings,GBP,Closed
ACC0361,CUST0469,Savings,AUD,Suspended
ACC0362,CUST1000,Savings,INR,Closed
ACC0363,CUST0124,Loan,CAD,Active
ACC0364,CUST0716,Credit,GBP,Active
ACC0365,CUST0531,Savings,USD,Suspended
ACC0366,CUST0472,Loan,USD,Active
ACC0367,CUST0324,Checking,GBP,Closed
ACC0368,CUST0706,Loan,GBP,Suspended
ACC0369,CUST0009,Loan,CAD,Suspended
ACC0370,CUST0013,Savings,CAD,Closed
ACC0371,CUST0691,Checking,AUD,Active
ACC0372,CUST0216,Credit,AUD,Active
ACC0373,CUST0389,Checking,USD,Active
ACC0374,CUST0595,Checking,CAD,Active
ACC0375,CUST0104,Checking,INR,Closed
ACC0376,CUST0334,Checking,AUD,Closed
ACC0377,CUST0371,Savings,INR,Closed
ACC0378,CUST0628,Loan,AUD,Active
ACC0379,CUST0883,Credit,GBP,Closed
ACC0380,CUST0266,Credit,CAD,Closed
ACC0381,CUST0192,Loan,AUD,Suspended
ACC0382,CUST0562,Credit,GBP,Suspended
ACC0383,CUST0270,Checking,INR,Suspended
ACC0384,CUST0243,Savings,INR,Suspended
ACC0385,CUST0276,Checking,USD,Closed
ACC0386,CUST0483,Checking,EUR,Active
ACC0387,CUST0982,Savings,CAD,Suspended
ACC0388,CUST0628,Credit,USD,Active
ACC0389,CUST0352,Savings,USD,Closed
ACC0390,CUST0375,Loan,CAD,Closed
ACC0391,CUST0189,Loan,EUR,Suspended
ACC0392,CUST0511,Loan,GBP,Suspended
ACC0393,CUST0435,Savings,USD,Active
ACC0394,CUST0216,Loan,USD,Active
ACC0395,CUST0430,Checking,EUR,Suspended
ACC0396,CUST0718,Checking,GBP,Suspended
ACC0397,CUST0771,Loan,USD,Active
ACC0398,CUST0382,Loan,INR,Suspended
ACC0399,CUST0374,Loan,EUR,Suspended
ACC0400,CUST0875,Loan,CAD,Closed
ACC0401,CUST0411,Savings,EUR,Active
ACC0402,CUST0287,Savings,EUR,Active
ACC0403,CUST0462,Checking,AUD,Active
ACC0404,CUST0185,Credit,INR,Closed
ACC0405,CUST0586,Checking,USD,Closed
ACC0406,CUST0135,Savings,GBP,Closed
ACC0407,CUST0590,Checking,CAD,Closed
ACC0408,CUST0703,Checking,INR,Active
ACC0409,CUST0235,Savings,AUD,Active
ACC0410,CUST0834,Credit,EUR,Suspended
ACC0411,CUST0103,Savings,CAD,Active
ACC0412,CUST0739,Checking,GBP,Suspended
ACC0413,CUST0277,Savings,CAD,Closed
ACC0414,CUST0824,Credit,CAD,Active
ACC0415,CUST0242,Credit,INR,Active
ACC0416,CUST0569,Savings,INR,Suspended
ACC0417,CUST0443,Savings,USD,Closed
ACC0418,CUST0877,Savings,GBP,Suspended
ACC0419,CUST0391,Loan,EUR,Closed
ACC0420,CUST0201,Checking,USD,Suspended
ACC0421,CUST0150,Checking,USD,Active
ACC0422,CUST0820,Credit,EUR,Active
ACC0423,CUST0983,Checking,AUD,Suspended
ACC0424,CUST0757,Loan,INR,Active
ACC0425,CUST0154,Credit,GBP,Closed
ACC0426,CUST0485,Savings,CAD,Active
ACC0427,CUST0826,Savings,AUD,Active
ACC0428,CUST0010,Credit,GBP,Closed
ACC0429,CUST0181,Credit,INR,Closed
ACC0430,CUST0432,Credit,INR,Suspended
ACC0431,CUST0512,Loan,GBP,Suspended
ACC0432,CUST0138,Savings,CAD,Closed
ACC0433,CUST0915,Loan,AUD,Suspended
ACC0434,CUST0870,Savings,INR,Active
ACC0435,CUST0646,Credit,INR,Active
ACC0436,CUST0530,Loan,AUD,Closed
ACC0437,CUST0547,Checking,AUD,Active
ACC0438,CUST0738,Savings,CAD,Active
ACC0439,CUST0324,Credit,CAD,Suspended
ACC0440,CUST0805,Credit,GBP,Suspended
ACC0441,CUST0499,Loan,AUD,Closed
ACC0442,CUST0308,Checking,EUR,Suspended
ACC0443,CUST0257,Checking,GBP,Suspended
ACC0444,CUST0576,Savings,EUR,Active
ACC0445,CUST0880,Savings,GBP,Suspended
ACC0446,CUST0582,Savings,EUR,Active
ACC0447,CUST0049,Loan,CAD,Closed
ACC0448,CUST0408,Credit,GBP,Active
ACC0449,CUST0102,Loan,GBP,Suspended
ACC0450,CUST0708,Credit,USD,Closed
ACC0451,CUST0168,Credit,EUR,Closed
ACC0452,CUST0062,Credit,GBP,Active
ACC0453,CUST0221,Checking,GBP,Suspended
ACC0454,CUST0834,Loan,CAD,Active
ACC0455,CUST0261,Loan,EUR,Suspended
ACC0456,CUST0488,Loan,AUD,Active
ACC0457,CUST0860,Checking,EUR,Active
ACC0458,CUST0645,Checking,INR,Suspended
ACC0459,CUST0099,Credit,AUD,Suspended
ACC0460,CUST0461,Checking,GBP,Active
ACC0461,CUST0763,Savings,EUR,Closed
ACC0462,CUST0343,Savings,EUR,Suspended
ACC0463,CUST0267,Savings,INR,Active
ACC0464,CUST0370,Loan,INR,Suspended
ACC0465,CUST0369,Savings,INR,Closed
ACC0466,CUST0574,Checking,EUR,Closed
ACC0467,CUST0571,Loan,EUR,Closed
ACC0468,CUST0955,Loan,EUR,Suspended
ACC0469,CUST0830,Savings,USD,Active
ACC0470,CUST0264,Credit,USD,Active
ACC0471,CUST0353,Credit,GBP,Suspended
ACC0472,CUST0021,Checking,AUD,Active
ACC0473,CUST0422,Savings,EUR,Suspended
ACC0474,CUST0125,Checking,CAD,Closed
ACC0475,CUST0360,Credit,GBP,Suspended
ACC0476,CUST0889,Credit,GBP,Closed
ACC0477,CUST0696,Savings,EUR,Active
ACC0478,CUST0987,Credit,EUR,Closed
ACC0479,CUST0621,Credit,AUD,Suspended
ACC0480,CUST0204,Credit,INR,Closed
ACC0481,CUST0591,Savings,USD,Suspended
ACC0482,CUST0590,Savings,INR,Closed
ACC0483,CUST0666,Credit,GBP,Closed
ACC0484,CUST0665,Credit,GBP,Suspended
ACC0485,CUST0552,Loan,EUR,Active
ACC0486,CUST0179,Savings,GBP,Active
ACC0487,CUST0800,Checking,CAD,Closed
ACC0488,CUST0292,Checking,AUD,Active
ACC0489,CUST0364,Credit,EUR,Active
ACC0490,CUST0333,Credit,AUD,Suspended
ACC0491,CUST0690,Loan,GBP,Active
ACC0492,CUST0523,Loan,USD,Suspended
ACC0493,CUST0500,Savings,USD,Suspended
ACC0494,CUST0794,Checking,CAD,Closed
ACC0495,CUST0755,Loan,CAD,Closed
ACC0496,CUST0458,Checking,EUR,Closed
ACC0497,CUST0911,Loan,CAD,Closed
ACC0498,CUST0081,Credit,GBP,Closed
ACC0499,CUST0391,Loan,EUR,Active
ACC0500,CUST0629,Loan,USD,Active
ACC0501,CUST0294,Savings,INR,Suspended
ACC0502,CUST0475,Credit,AUD,Closed
ACC0503,CUST0647,Credit,AUD,Closed
ACC0504,CUST0980,Savings,GBP,Suspended
ACC0505,CUST0149,Checking,INR,Suspended
ACC0506,CUST0890,Credit,INR,Suspended
ACC0507,CUST0172,Credit,GBP,Closed
ACC0508,CUST0656,Savings,CAD,Suspended
ACC0509,CUST0828,Checking,GBP,Active
ACC0510,CUST0951,Credit,AUD,Closed
ACC0511,CUST0346,Savings,INR,Active
ACC0512,CUST0432,Credit,EUR,Closed
ACC0513,CUST0647,Loan,AUD,Active
ACC0514,CUST0628,Checking,INR,Suspended
ACC0515,CUST0586,Loan,CAD,Active
ACC0516,CUST0415,Checking,GBP,Closed
ACC0517,CUST0870,Savings,INR,Suspended
ACC0518,CUST0929,Credit,USD,Suspended
ACC0519,CUST0074,Credit,INR,Suspended
ACC0520,CUST0082,Savings,CAD,Active
ACC0521,CUST0166,Credit,USD,Active
ACC0522,CUST0352,Loan,EUR,Suspended
ACC0523,CUST0234,Savings,INR,Closed
ACC0524,CUST0322,Loan,AUD,Closed
ACC0525,CUST0325,Checking,USD,Suspended
ACC0526,CUST0669,Credit,GBP,Active
ACC0527,CUST0299,Loan,USD,Suspended
ACC0528,CUST0728,Credit,CAD,Active
ACC0529,CUST0274,Checking,AUD,Suspended
ACC0530,CUST0620,Credit,EUR,Active
ACC0531,CUST0661,Checking,CAD,Active
ACC0532,CUST0405,Savings,GBP,Suspended
ACC0533,CUST0278,Credit,USD,Suspended
ACC0534,CUST0909,Savings,GBP,Closed
ACC0535,CUST0456,Checking,USD,Suspended
ACC0536,CUST0800,Savings,AUD,Suspended
ACC0537,CUST0884,Loan,INR,Suspended
ACC0538,CUST0962,Savings,EUR,Suspended
ACC0539,CUST0372,Loan,AUD,Closed
ACC0540,CUST0766,Checking,AUD,Suspended
ACC0541,CUST0602,Checking,EUR,Closed
ACC0542,CUST0534,Credit,GBP,Suspended
ACC0543,CUST0989,Loan,EUR,Suspended
ACC0544,CUST0462,Credit,USD,Active
ACC0545,CUST0424,Credit,USD,Suspended
ACC0546,CUST0172,Checking,AUD,Closed
ACC0547,CUST0189,Savings,CAD,Suspended
ACC0548,CUST0875,Checking,INR,Active
ACC0549,CUST0024,Checking,INR,Closed
ACC0550,CUST0129,Savings,USD,Closed
ACC0551,CUST0746,Loan,AUD,Closed
ACC0552,CUST0241,Loan,CAD,Suspended
ACC0553,CUST0678,Savings,EUR,Active
ACC0554,CUST0258,Savings,CAD,Active
ACC0555,CUST0964,Credit,GBP,Active
ACC0556,CUST0762,Savings,AUD,Active
ACC0557,CUST0718,Savings,AUD,Active
ACC0558,CUST0768,Credit,AUD,Active
ACC0559,CUST0082,Loan,USD,Active
ACC0560,CUST0216,Savings,INR,Suspended
ACC0561,CUST0171,Savings,GBP,Suspended
ACC0562,CUST0407,Credit,CAD,Active
ACC0563,CUST0106,Savings,EUR,Closed
ACC0564,CUST0098,Credit,INR,Suspended
ACC0565,CUST0066,Checking,CAD,Suspended
ACC0566,CUST0960,Credit,GBP,Active
ACC0567,CUST0900,Checking,CAD,Suspended
ACC0568,CUST0485,Checking,GBP,Active
ACC0569,CUST0562,Credit,USD,Suspended
ACC0570,CUST0056,Credit,GBP,Suspended
ACC0571,CUST0027,Credit,GBP,Closed
ACC0572,CUST0790,Loan,GBP,Closed
ACC0573,CUST0407,Savings,GBP,Suspended
ACC0574,CUST0537,Credit,CAD,Suspended
ACC0575,CUST0784,Checking,AUD,Suspended
ACC0576,CUST0086,Checking,USD,Active
ACC0577,CUST0107,Credit,EUR,Closed
ACC0578,CUST0269,Savings,INR,Active
ACC0579,CUST0633,Savings,CAD,Active
ACC0580,CUST0160,Savings,INR,Suspended
ACC0581,CUST0087,Checking,CAD,Active
ACC0582,CUST0671,Credit,CAD,Active
ACC0583,CUST0954,Credit,GBP,Suspended
ACC0584,CUST0907,Credit,EUR,Active
ACC0585,CUST0400,Checking,INR,Active
ACC0586,CUST0317,Credit,CAD,Closed
ACC0587,CUST0235,Checking,INR,Closed
ACC0588,CUST0254,Checking,CAD,Suspended
