MerchantID,MerchantName,Sector,Country
MERCH0268,Merchant Generic 268,Travel,France
MERCH0269,Merchant Generic 269,E-commerce,UK
MERCH0270,Merchant Generic 270,Dining,Germany
MERCH0271,Merchant Generic 271,Retail,Australia
MERCH0272,Merchant Generic 272,Dining,USA
MERCH0273,Merchant Generic 273,Dining,France
MERCH0274,Merchant Generic 274,Entertainment,France
MERCH0275,Merchant Generic 275,Utilities,Canada
MERCH0276,Merchant Generic 276,E-commerce,France
MERCH0277,Merchant Generic 277,Dining,USA
MERCH0278,Merchant Generic 278,E-commerce,India
MERCH0279,Merchant Generic 279,Entertainment,India
MERCH0280,Merchant Generic 280,Travel,USA
MERCH0281,Merchant Generic 281,Travel,UK
MERCH0282,Merchant Generic 282,Utilities,Australia
MERCH0283,Merchant Generic 283,Retail,Canada
MERCH0284,Merchant Generic 284,Utilities,Germany
MERCH0285,Merchant Generic 285,Retail,UK
MERCH0286,Merchant Generic 286,Retail,Canada
MERCH0287,Merchant Generic 287,Dining,Singapore
MERCH0288,Merchant Generic 288,Entertainment,USA
MERCH0289,Merchant Generic 289,E-commerce,Germany
MERCH0290,Merchant Generic 290,Travel,Australia
MERCH0291,Merchant Generic 291,Utilities,India
MERCH0292,Merchant Generic 292,Utilities,Canada
MERCH0293,Merchant Generic 293,Dining,USA
MERCH0294,Merchant Generic 294,E-commerce,Germany
MERCH0295,Merchant Generic 295,Travel,Germany
MERCH0296,Merchant Generic 296,Utilities,France
MERCH0297,Merchant Generic 297,Dining,UK
MERCH0298,Merchant Generic 298,Dining,France
MERCH0299,Merchant Generic 299,Entertainment,Singapore
MERCH0300,Merchant Generic 300,Dining,UK
MERCH0301,Merchant Generic 301,Utilities,Singapore
MERCH0302,Merchant Generic 302,E-commerce,UK
MERCH0303,Merchant Generic 303,Entertainment,UK
MERCH0304,Merchant Generic 304,Dining,UK
MERCH0305,Merchant Generic 305,Dining,Canada
MERCH0306,Merchant Generic 306,Utilities,UK
MERCH0307,Merchant Generic 307,Entertainment,Canada
MERCH0308,Merchant Generic 308,Entertainment,France
MERCH0309,Merchant Generic 309,Retail,USA
MERCH0310,Merchant Generic 310,Retail,Canada
MERCH0311,Merchant Generic 311,Dining,USA
MERCH0312,Merchant Generic 312,Travel,Australia
MERCH0313,Merchant Generic 313,Utilities,France
MERCH0314,Merchant Generic 314,Entertainment,Singapore
MERCH0315,Merchant Generic 315,Travel,UK
MERCH0316,Merchant Generic 316,Dining,Australia
MERCH0317,Merchant Generic 317,Retail,Germany
MERCH0318,Merchant Generic 318,E-commerce,Australia
MERCH0319,Merchant Generic 319,E-commerce,Canada
MERCH0320,Merchant Generic 320,Entertainment,Germany
MERCH0321,Merchant Generic 321,E-commerce,USA
MERCH0322,Merchant Generic 322,Dining,India
MERCH0323,Merchant Generic 323,Utilities,Germany
MERCH0324,Merchant Generic 324,Entertainment,Canada
MERCH0325,Merchant Generic 325,E-commerce,Germany
MERCH0326,Merchant Generic 326,Retail,Canada
MERCH0327,Merchant Generic 327,Dining,France
MERCH0328,Merchant Generic 328,Utilities,India
MERCH0329,Merchant Generic 329,E-commerce,Australia
MERCH0330,Merchant Generic 330,Retail,Australia
MERCH0331,Merchant Generic 331,E-commerce,Germany
MERCH0332,Merchant Generic 332,Utilities,Australia
MERCH0333,Merchant Generic 333,Travel,Canada
MERCH0334,Merchant Generic 334,Utilities,Germany
MERCH0335,Merchant Generic 335,Travel,Germany
MERCH0336,Merchant Generic 336,Retail,Singapore
MERCH0337,Merchant Generic 337,Retail,Germany
MERCH0338,Merchant Generic 338,Travel,UK
MERCH0339,Merchant Generic 339,Retail,Singapore
MERCH0340,Merchant Generic 340,Dining,France
MERCH0341,Merchant Generic 341,Dining,France
MERCH0342,Merchant Generic 342,Entertainment,France
MERCH0343,Merchant Generic 343,Travel,Singapore
MERCH0344,Merchant Generic 344,Dining,Canada
MERCH0345,Merchant Generic 345,Retail,USA
MERCH0346,Merchant Generic 346,Retail,India
MERCH0347,Merchant Generic 347,Dining,Canada
MERCH0348,Merchant Generic 348,Entertainment,Australia
MERCH0349,Merchant Generic 349,Travel,India
MERCH0350,Merchant Generic 350,Travel,France
MERCH0351,Merchant Generic 351,Retail,Germany
MERCH0352,Merchant Generic 352,Travel,Australia
MERCH0353,Merchant Generic 353,Travel,France
MERCH0354,Merchant Generic 354,Travel,Germany
MERCH0355,Merchant Generic 355,Retail,UK
MERCH0356,Merchant Generic 356,E-commerce,Australia
MERCH0357,Merchant Generic 357,E-commerce,Germany
MERCH0358,Merchant Generic 358,Travel,Australia
MERCH0359,Merchant Generic 359,E-commerce,Singapore
MERCH0360,Merchant Generic 360,Utilities,Germany
MERCH0361,Merchant Generic 361,Travel,USA
MERCH0362,Merchant Generic 362,Entertainment,UK
MERCH0363,Merchant Generic 363,Retail,Canada
MERCH0364,Merchant Generic 364,Utilities,Singapore
MERCH0365,Merchant Generic 365,Dining,Canada
MERCH0366,Merchant Generic 366,Retail,Singapore
MERCH0367,Merchant Generic 367,Entertainment,France
MERCH0368,Merchant Generic 368,Dining,France
MERCH0369,Merchant Generic 369,Retail,India
MERCH0370,Merchant Generic 370,Entertainment,USA
MERCH0371,Merchant Generic 371,Dining,France
MERCH0372,Merchant Generic 372,Dining,UK
MERCH0373,Merchant Generic 373,Entertainment,France
MERCH0374,Merchant Generic 374,E-commerce,USA
MERCH0375,Merchant Generic 375,Retail,Canada
MERCH0376,Merchant Generic 376,Dining,India
MERCH0377,Merchant Generic 377,Utilities,Singapore
MERCH0378,Merchant Generic 378,Entertainment,France
MERCH0379,Merchant Generic 379,Travel,France
MERCH0380,Merchant Generic 380,Travel,UK
MERCH0381,Merchant Generic 381,Utilities,Canada
MERCH0382,Merchant Generic 382,Utilities,France
MERCH0383,Merchant Generic 383,Retail,Germany
MERCH0384,Merchant Generic 384,Retail,Canada
MERCH0385,Merchant Generic 385,Entertainment,Singapore
MERCH0386,Merchant Generic 386,Travel,Canada
MERCH0387,Merchant Generic 387,Utilities,USA
MERCH0388,Merchant Generic 388,Utilities,Singapore
MERCH0389,Merchant Generic 389,Dining,Singapore
MERCH0390,Merchant Generic 390,Entertainment,India
MERCH0391,Merchant Generic 391,Travel,India
MERCH0392,Merchant Generic 392,Travel,Singapore
MERCH0393,Merchant Generic 393,Entertainment,Australia
MERCH0394,Merchant Generic 394,Utilities,Germany
MERCH0395,Merchant Generic 395,Entertainment,France
MERCH0396,Merchant Generic 396,Entertainment,France
MERCH0397,Merchant Generic 397,Dining,Singapore
MERCH0398,Merchant Generic 398,E-commerce,India
MERCH0399,Merchant Generic 399,Travel,Germany
MERCH0400,Merchant Generic 400,Travel,USA
MERCH0401,Merchant Generic 401,Utilities,Australia
MERCH0402,Merchant Generic 402,E-commerce,UK
MERCH0403,Merchant Generic 403,E-commerce,India
MERCH0404,Merchant Generic 404,Retail,India
MERCH0405,Merchant Generic 405,Dining,Germany
MERCH0406,Merchant Generic 406,Utilities,India
MERCH0407,Merchant Generic 407,Dining,USA
MERCH0408,Merchant Generic 408,Retail,Canada
MERCH0409,Merchant Generic 409,E-commerce,Canada
MERCH0410,Merchant Generic 410,Entertainment,Germany
MERCH0411,Merchant Generic 411,Dining,Australia
MERCH0412,Merchant Generic 412,Dining,Canada
MERCH0413,Merchant Generic 413,Entertainment,Canada
MERCH0414,Merchant Generic 414,Travel,France
MERCH0415,Merchant Generic 415,Retail,USA
MERCH0416,Merchant Generic 416,Entertainment,UK
MERCH0417,Merchant Generic 417,Dining,Germany
MERCH0418,Merchant Generic 418,Dining,Canada
MERCH0419,Merchant Generic 419,Dining,France
MERCH0420,Merchant Generic 420,Utilities,Singapore
MERCH0421,Merchant Generic 421,Dining,India
MERCH0422,Merchant Generic 422,Utilities,Canada
MERCH0423,Merchant Generic 423,Entertainment,Singapore
MERCH0424,Merchant Generic 424,Retail,USA
MERCH0425,Merchant Generic 425,Retail,Canada
MERCH0426,Merchant Generic 426,Dining,Australia
MERCH0427,Merchant Generic 427,Entertainment,Canada
MERCH0428,Merchant Generic 428,Utilities,Germany
MERCH0429,Merchant Generic 429,Dining,Germany
MERCH0430,Merchant Generic 430,Dining,UK
MERCH0431,Merchant Generic 431,E-commerce,Canada
MERCH0432,Merchant Generic 432,Travel,Australia
MERCH0433,Merchant Generic 433,Travel,Australia
MERCH0434,Merchant Generic 434,Retail,India
MERCH0435,Merchant Generic 435,Travel,UK
MERCH0436,Merchant Generic 436,Retail,Australia
MERCH0437,Merchant Generic 437,Travel,Canada
MERCH0438,Merchant Generic 438,Retail,France
MERCH0439,Merchant Generic 439,Dining,USA
MERCH0440,Merchant Generic 440,Travel,Singapore
MERCH0441,Merchant Generic 441,Utilities,Canada
MERCH0442,Merchant Generic 442,Entertainment,France
MERCH0443,Merchant Generic 443,E-commerce,UK
MERCH0444,Merchant Generic 444,Travel,Singapore
MERCH0445,Merchant Generic 445,Retail,India
MERCH0446,Merchant Generic 446,Entertainment,Australia
MERCH0447,Merchant Generic 447,Retail,Singapore
MERCH0448,Merchant Generic 448,Dining,India
MERCH0449,Merchant Generic 449,Entertainment,Singapore
MERCH0450,Merchant Generic 450,Entertainment,Australia
MERCH0451,Merchant Generic 451,Dining,UK
MERCH0452,Merchant Generic 452,Retail,India
MERCH0453,Merchant Generic 453,Travel,Canada
MERCH0454,Merchant Generic 454,E-commerce,France
MERCH0455,Merchant Generic 455,Dining,Canada
MERCH0456,Merchant Generic 456,Dining,India
MERCH0457,Merchant Generic 457,Dining,France
MERCH0458,Merchant Generic 458,Travel,Germany
MERCH0459,Merchant Generic 459,E-commerce,India
MERCH0460,Merchant Generic 460,E-commerce,India
MERCH0461,Merchant Generic 461,Utilities,UK
MERCH0462,Merchant Generic 462,E-commerce,France
MERCH0463,Merchant Generic 463,E-commerce,Singapore
MERCH0464,Merchant Generic 464,Entertainment,USA
MERCH0465,Merchant Generic 465,Utilities,Australia
MERCH0466,Merchant Generic 466,Retail,Canada
MERCH0467,Merchant Generic 467,E-commerce,Australia
MERCH0468,Merchant Generic 468,Retail,France
MERCH0469,Merchant Generic 469,Utilities,France
MERCH0470,Merchant Generic 470,Retail,France
MERCH0471,Merchant Generic 471,E-commerce,USA
MERCH0472,Merchant Generic 472,Utilities,India
MERCH0473,Merchant Generic 473,Entertainment,UK
MERCH0474,Merchant Generic 474,Travel,Australia
MERCH0475,Merchant Generic 475,Entertainment,Canada
MERCH0476,Merchant Generic 476,Dining,Singapore
MERCH0477,Merchant Generic 477,Retail,Australia
MERCH0478,Merchant Generic 478,Entertainment,USA
MERCH0479,Merchant Generic 479,Utilities,Australia
MERCH0480,Merchant Generic 480,E-commerce,Germany
MERCH0481,Merchant Generic 481,Retail,India
MERCH0482,Merchant Generic 482,Utilities,UK
MERCH0483,Merchant Generic 483,Dining,France
MERCH0484,Merchant Generic 484,Dining,India
MERCH0485,Merchant Generic 485,Retail,Canada
MERCH0486,Merchant Generic 486,Utilities,India
MERCH0487,Merchant Generic 487,Dining,Canada
MERCH0488,Merchant Generic 488,Entertainment,Germany
MERCH0489,Merchant Generic 489,Utilities,Germany
MERCH0490,Merchant Generic 490,Retail,India
MERCH0491,Merchant Generic 491,Entertainment,Singapore
MERCH0492,Merchant Generic 492,E-commerce,USA
MERCH0493,Merchant Generic 493,Dining,Germany
MERCH0494,Merchant Generic 494,Retail,India
MERCH0495,Merchant Generic 495,Retail,Canada
MERCH0496,Merchant Generic 496,Entertainment,Canada
MERCH0497,Merchant Generic 497,Travel,India
MERCH0498,Merchant Generic 498,Retail,UK
MERCH0499,Merchant Generic 499,Entertainment,Singapore
MERCH0500,Merchant Generic 500,Retail,UK
MERCH0501,Merchant Generic 501,E-commerce,France
MERCH0502,Merchant Generic 502,E-commerce,UK
MERCH0503,Merchant Generic 503,Dining,India
MERCH0504,Merchant Generic 504,Entertainment,USA
MERCH0505,Merchant Generic 505,Dining,Canada
MERCH0506,Merchant Generic 506,Utilities,France
MERCH0507,Merchant Generic 507,Travel,Canada
MERCH0508,Merchant Generic 508,Retail,India
MERCH0509,Merchant Generic 509,Utilities,Singapore
MERCH0510,Merchant Generic 510,Travel,USA
MERCH0511,Merchant Generic 511,Dining,Singapore
MERCH0512,Merchant Generic 512,E-commerce,India
MERCH0513,Merchant Generic 513,Retail,India
MERCH0514,Merchant Generic 514,Dining,USA
MERCH0515,Merchant Generic 515,Entertainment,Germany
MERCH0516,Merchant Generic 516,Dining,India
MERCH0517,Merchant Generic 517,Dining,Germany
MERCH0518,Merchant Generic 518,Travel,UK
MERCH0519,Merchant Generic 519,Utilities,Singapore
MERCH0520,Merchant Generic 520,Dining,France
MERCH0521,Merchant Generic 521,Travel,Singapore
MERCH0522,Merchant Generic 522,Dining,France
MERCH0523,Merchant Generic 523,Entertainment,France
MERCH0524,Merchant Generic 524,Retail,UK
MERCH0525,Merchant Generic 525,E-commerce,Canada
MERCH0526,Merchant Generic 526,Dining,India
MERCH0527,Merchant Generic 527,Retail,India
MERCH0528,Merchant Generic 528,Dining,UK
MERCH0529,Merchant Generic 529,E-commerce,Canada
MERCH0530,Merchant Generic 530,Entertainment,USA
MERCH0531,Merchant Generic 531,Retail,France
MERCH0532,Merchant Generic 532,Retail,Germany
MERCH0533,Merchant Generic 533,Entertainment,Australia
MERCH0534,Merchant Generic 534,E-commerce,Singapore
MERCH0535,Merchant Generic 535,Dining,India
MERCH0536,Merchant Generic 536,Entertainment,USA
MERCH0537,Merchant Generic 537,Utilities,Singapore
MERCH0538,Merchant Generic 538,Utilities,Germany
MERCH0539,Merchant Generic 539,Entertainment,USA
MERCH0540,Merchant Generic 540,Entertainment,UK
MERCH0541,Merchant Generic 541,Utilities,Singapore
MERCH0542,Merchant Generic 542,Dining,Singapore
MERCH0543,Merchant Generic 543,E-commerce,France
MERCH0544,Merchant Generic 544,Travel,USA
MERCH0545,Merchant Generic 545,Entertainment,France
MERCH0546,Merchant Generic 546,Retail,Germany
MERCH0547,Merchant Generic 547,Utilities,India
MERCH0548,Merchant Generic 548,Utilities,France
MERCH0549,Merchant Generic 549,E-commerce,Germany
MERCH0550,Merchant Generic 550,Travel,USA
MERCH0551,Merchant Generic 551,Utilities,Germany
MERCH0552,Merchant Generic 552,Retail,Canada
MERCH0553,Merchant Generic 553,Retail,Germany
MERCH0554,Merchant Generic 554,E-commerce,France
