MigrationID,Version,MigrationName,ExecutedAt,ExecutionTimeMs,Status
MIG-0029,v1.029,alter_table_merchant_modify_index_29,2020-02-22 20:25:00,1081,Success
MIG-0030,v1.030,alter_table_transaction_drop_unused_30,2020-02-24 08:10:00,2180,Success
MIG-0031,v1.031,alter_table_exception_add_column_31,2020-02-25 13:11:00,832,Success
MIG-0032,v1.032,alter_table_account_create_table_32,2020-02-27 23:57:00,2075,Success
MIG-0033,v1.033,alter_table_merchant_modify_index_33,2020-02-29 11:20:00,1168,Success
MIG-0034,v1.034,alter_table_wallet_drop_unused_34,2020-03-01 12:37:00,564,Success
MIG-0035,v1.035,alter_table_wallet_rename_field_35,2020-03-04 00:18:00,2261,Success
MIG-0036,v1.036,alter_table_customer_modify_index_36,2020-03-06 02:44:00,687,Success
MIG-0037,v1.037,alter_table_merchant_modify_index_37,2020-03-08 05:13:00,2378,Success
MIG-0038,v1.038,alter_table_transaction_add_column_38,2020-03-09 15:30:00,1328,Failed
MIG-0039,v1.039,alter_table_transaction_add_column_38_retry,2020-03-11 20:25:00,2301,Success
MIG-0040,v1.040,alter_table_account_add_column_40,2020-03-12 23:01:00,1481,Failed
MIG-0041,v1.041,alter_table_account_add_column_40_retry,2020-03-14 06:36:00,329,Success
MIG-0042,v1.042,alter_table_account_add_column_42,2020-03-16 07:33:00,918,Success
MIG-0043,v1.043,alter_table_transaction_drop_unused_43,2020-03-17 19:00:00,1197,Success
MIG-0044,v1.044,alter_table_transaction_create_table_44,2020-03-19 22:46:00,1427,Success
MIG-0045,v1.045,alter_table_customer_drop_unused_45,2020-03-22 02:38:00,1729,Success
MIG-0046,v1.046,alter_table_card_rename_field_46,2020-03-23 07:17:00,980,Success
MIG-0047,v1.047,alter_table_exception_add_column_47,2020-03-24 17:22:00,2054,Success
MIG-0048,v1.048,alter_table_customer_rename_field_48,2020-03-25 21:25:00,591,Success
MIG-0049,v1.049,alter_table_transaction_drop_unused_49,2020-03-28 00:59:00,2025,Success
MIG-0050,v1.050,alter_table_account_rename_field_50,2020-03-29 03:28:00,97,Success
MIG-0051,v1.051,alter_table_account_add_column_51,2020-03-31 08:28:00,1400,Success
MIG-0052,v1.052,alter_table_customer_add_column_52,2020-04-02 20:31:00,729,Success
MIG-0053,v1.053,alter_table_card_modify_index_53,2020-04-04 09:08:00,1458,Success
MIG-0054,v1.054,alter_table_transaction_modify_index_54,2020-04-06 12:05:00,1345,Success
MIG-0055,v1.055,alter_table_transaction_modify_index_55,2020-04-08 22:07:00,1576,Success
MIG-0056,v1.056,alter_table_exception_create_table_56,2020-04-10 23:44:00,2402,Success
MIG-0057,v1.057,alter_table_wallet_modify_index_57,2020-04-12 01:35:00,1820,Success
MIG-0058,v1.058,alter_table_exception_create_table_58,2020-04-14 09:27:00,708,Success
MIG-0059,v1.059,alter_table_wallet_modify_index_59,2020-04-16 12:19:00,1742,Success
MIG-0060,v1.060,alter_table_exception_rename_field_60,2020-04-17 21:57:00,157,Success
MIG-0061,v1.061,alter_table_account_drop_unused_61,2020-04-20 03:48:00,1338,Success
MIG-0062,v1.062,alter_table_account_modify_index_62,2020-04-21 16:47:00,2209,Success
MIG-0063,v1.063,alter_table_account_drop_unused_63,2020-04-24 05:33:00,771,Success
MIG-0064,v1.064,alter_table_merchant_create_table_64,2020-04-26 06:46:00,1563,Success
MIG-0065,v1.065,alter_table_exception_create_table_65,2020-04-28 18:30:00,998,Success
MIG-0066,v1.066,alter_table_merchant_create_table_66,2020-04-30 05:42:00,1471,Success
MIG-0067,v1.067,alter_table_exception_rename_field_67,2020-05-01 09:31:00,354,Success
MIG-0068,v1.068,alter_table_card_drop_unused_68,2020-05-03 16:09:00,2196,Success
MIG-0069,v1.069,alter_table_card_create_table_69,2020-05-04 23:03:00,2201,Success
MIG-0070,v1.070,alter_table_exception_add_column_70,2020-05-06 09:36:00,1676,Success
MIG-0071,v1.071,alter_table_exception_create_table_71,2020-05-08 11:27:00,343,Success
MIG-0072,v1.072,alter_table_account_add_column_72,2020-05-09 11:49:00,1473,Success
MIG-0073,v1.073,alter_table_exception_create_table_73,2020-05-11 16:06:00,2319,Success
MIG-0074,v1.074,alter_table_exception_create_table_74,2020-05-13 21:22:00,2031,Success
MIG-0075,v1.075,alter_table_exception_modify_index_75,2020-05-16 06:48:00,481,Success
MIG-0076,v1.076,alter_table_card_rename_field_76,2020-05-18 15:03:00,2118,Success
MIG-0077,v1.077,alter_table_wallet_create_table_77,2020-05-20 21:58:00,599,Success
MIG-0078,v1.078,alter_table_customer_add_column_78,2020-05-22 00:57:00,2096,Success
MIG-0079,v1.079,alter_table_wallet_create_table_79,2020-05-23 05:49:00,996,Success
MIG-0080,v1.080,alter_table_card_modify_index_80,2020-05-24 13:37:00,1955,Success
MIG-0081,v1.081,alter_table_customer_rename_field_81,2020-05-26 22:15:00,932,Success
MIG-0082,v1.082,alter_table_account_rename_field_82,2020-05-29 08:00:00,534,Success
MIG-0083,v1.083,alter_table_card_drop_unused_83,2020-05-31 16:24:00,2403,Success
MIG-0084,v1.084,alter_table_transaction_add_column_84,2020-06-01 23:42:00,1850,Success
MIG-0085,v1.085,alter_table_account_modify_index_85,2020-06-04 02:11:00,2356,Success
MIG-0086,v1.086,alter_table_card_drop_unused_86,2020-06-06 13:45:00,364,Success
MIG-0087,v1.087,alter_table_customer_add_column_87,2020-06-08 23:28:00,1181,Success
MIG-0088,v1.088,alter_table_customer_drop_unused_88,2020-06-10 06:19:00,871,Success
MIG-0089,v1.089,alter_table_transaction_modify_index_89,2020-06-11 15:06:00,2496,Success
MIG-0090,v1.090,alter_table_account_modify_index_90,2020-06-12 20:55:00,715,Success
MIG-0091,v1.091,alter_table_account_rename_field_91,2020-06-15 09:33:00,558,Success
MIG-0092,v1.092,alter_table_customer_drop_unused_92,2020-06-16 11:29:00,1160,Success
MIG-0093,v1.093,alter_table_exception_drop_unused_93,2020-06-17 14:16:00,688,Success
MIG-0094,v1.094,alter_table_transaction_drop_unused_94,2020-06-18 15:12:00,984,Success
MIG-0095,v1.095,alter_table_merchant_modify_index_95,2020-06-19 18:15:00,2301,Success
MIG-0096,v1.096,alter_table_transaction_create_table_96,2020-06-21 05:48:00,1207,Success
MIG-0097,v1.097,alter_table_account_rename_field_97,2020-06-22 08:45:00,1199,Success
MIG-0098,v1.098,alter_table_wallet_modify_index_98,2020-06-24 13:52:00,693,Success
MIG-0099,v1.099,alter_table_customer_drop_unused_99,2020-06-25 19:36:00,40,Success
MIG-0100,v1.100,alter_table_card_drop_unused_100,2020-06-28 00:23:00,1831,Success
MIG-0101,v1.101,alter_table_wallet_add_column_101,2020-06-30 10:39:00,1959,Success
MIG-0102,v1.102,alter_table_transaction_add_column_102,2020-07-02 12:03:00,1474,Success
MIG-0103,v1.103,alter_table_card_create_table_103,2020-07-04 22:02:00,1982,Success
MIG-0104,v1.104,alter_table_card_drop_unused_104,2020-07-06 03:33:00,2341,Success
MIG-0105,v1.105,alter_table_account_modify_index_105,2020-07-07 08:42:00,1097,Success
MIG-0106,v1.106,alter_table_wallet_drop_unused_106,2020-07-09 21:31:00,446,Success
MIG-0107,v1.107,alter_table_customer_rename_field_107,2020-07-11 02:34:00,2433,Success
MIG-0108,v1.108,alter_table_customer_rename_field_108,2020-07-12 06:57:00,921,Success
MIG-0109,v1.109,alter_table_merchant_create_table_109,2020-07-13 12:23:00,1919,Success
MIG-0110,v1.110,alter_table_customer_rename_field_110,2020-07-15 21:55:00,1212,Success
MIG-0111,v1.111,alter_table_transaction_add_column_111,2020-07-18 07:55:00,1697,Success
MIG-0112,v1.112,alter_table_card_drop_unused_112,2020-07-19 16:08:00,2260,Success
MIG-0113,v1.113,alter_table_wallet_add_column_113,2020-07-21 21:48:00,1561,Success
MIG-0114,v1.114,alter_table_account_add_column_114,2020-07-23 23:20:00,692,Success
MIG-0115,v1.115,alter_table_account_drop_unused_115,2020-07-26 05:56:00,1586,Success
MIG-0116,v1.116,alter_table_customer_modify_index_116,2020-07-28 17:21:00,1102,Success
MIG-0117,v1.117,alter_table_card_rename_field_117,2020-07-29 20:29:00,1760,Success
MIG-0118,v1.118,alter_table_customer_drop_unused_118,2020-07-31 00:48:00,1828,Success
MIG-0119,v1.119,alter_table_exception_create_table_119,2020-08-01 10:08:00,1921,Success
MIG-0120,v1.120,alter_table_customer_drop_unused_120,2020-08-02 12:32:00,416,Success
MIG-0121,v1.121,alter_table_wallet_modify_index_121,2020-08-03 14:51:00,406,Success
MIG-0122,v1.122,alter_table_merchant_add_column_122,2020-08-04 21:17:00,1432,Success
MIG-0123,v1.123,alter_table_wallet_rename_field_123,2020-08-06 04:13:00,724,Success
MIG-0124,v1.124,alter_table_account_rename_field_124,2020-08-07 07:07:00,2389,Success
MIG-0125,v1.125,alter_table_wallet_modify_index_125,2020-08-08 14:39:00,281,Success
MIG-0126,v1.126,alter_table_transaction_add_column_126,2020-08-09 14:56:00,508,Success
MIG-0127,v1.127,alter_table_wallet_create_table_127,2020-08-11 03:34:00,909,Success
MIG-0128,v1.128,alter_table_wallet_modify_index_128,2020-08-13 03:51:00,538,Success
MIG-0129,v1.129,alter_table_exception_modify_index_129,2020-08-14 11:52:00,2328,Success
MIG-0130,v1.130,alter_table_card_drop_unused_130,2020-08-15 18:22:00,742,Success
MIG-0131,v1.131,alter_table_card_create_table_131,2020-08-17 03:11:00,1629,Success
MIG-0132,v1.132,alter_table_exception_drop_unused_132,2020-08-19 07:34:00,1022,Success
MIG-0133,v1.133,alter_table_account_drop_unused_133,2020-08-21 08:38:00,1471,Success
MIG-0134,v1.134,alter_table_transaction_create_table_134,2020-08-22 13:05:00,1852,Success
MIG-0135,v1.135,alter_table_exception_create_table_135,2020-08-23 14:52:00,548,Success
MIG-0136,v1.136,alter_table_customer_rename_field_136,2020-08-25 16:06:00,342,Success
MIG-0137,v1.137,alter_table_customer_drop_unused_137,2020-08-26 23:49:00,440,Success
MIG-0138,v1.138,alter_table_card_create_table_138,2020-08-28 00:35:00,1885,Success
MIG-0139,v1.139,alter_table_customer_modify_index_139,2020-08-30 09:53:00,1573,Success
MIG-0140,v1.140,alter_table_merchant_add_column_140,2020-08-31 12:10:00,1728,Success
MIG-0141,v1.141,alter_table_transaction_create_table_141,2020-09-01 13:40:00,1784,Success
MIG-0142,v1.142,alter_table_customer_create_table_142,2020-09-03 02:13:00,2026,Success
MIG-0143,v1.143,alter_table_account_rename_field_143,2020-09-04 04:00:00,2386,Success
MIG-0144,v1.144,alter_table_wallet_add_column_144,2020-09-05 15:07:00,478,Success
MIG-0145,v1.145,alter_table_wallet_modify_index_145,2020-09-07 00:31:00,2240,Success
MIG-0146,v1.146,alter_table_exception_modify_index_146,2020-09-09 09:21:00,1209,Success
MIG-0147,v1.147,alter_table_customer_add_column_147,2020-09-11 14:06:00,2259,Success
MIG-0148,v1.148,alter_table_wallet_rename_field_148,2020-09-13 15:34:00,1465,Success
MIG-0149,v1.149,alter_table_account_modify_index_149,2020-09-15 00:52:00,2006,Success
MIG-0150,v1.150,alter_table_customer_drop_unused_150,2020-09-17 04:37:00,1407,Success
MIG-0151,v1.151,alter_table_merchant_drop_unused_151,2020-09-19 10:01:00,655,Success
MIG-0152,v1.152,alter_table_wallet_drop_unused_152,2020-09-20 18:12:00,2033,Success
MIG-0153,v1.153,alter_table_card_modify_index_153,2020-09-22 19:46:00,1217,Success
MIG-0154,v1.154,alter_table_card_create_table_154,2020-09-24 08:20:00,1846,Success
MIG-0155,v1.155,alter_table_account_rename_field_155,2020-09-25 13:23:00,2395,Success
MIG-0156,v1.156,alter_table_exception_drop_unused_156,2020-09-27 01:10:00,2138,Success
MIG-0157,v1.157,alter_table_card_add_column_157,2020-09-28 09:41:00,287,Success
MIG-0158,v1.158,alter_table_merchant_add_column_158,2020-09-29 18:47:00,1059,Success
MIG-0159,v1.159,alter_table_merchant_modify_index_159,2020-10-01 06:30:00,702,Success
MIG-0160,v1.160,alter_table_exception_add_column_160,2020-10-02 19:28:00,1209,Success
MIG-0161,v1.161,alter_table_card_rename_field_161,2020-10-05 00:55:00,1122,Success
MIG-0162,v1.162,alter_table_transaction_create_table_162,2020-10-07 07:50:00,220,Success
MIG-0163,v1.163,alter_table_merchant_rename_field_163,2020-10-09 20:08:00,839,Success
MIG-0164,v1.164,alter_table_merchant_rename_field_164,2020-10-11 04:26:00,1452,Success
MIG-0165,v1.165,alter_table_transaction_rename_field_165,2020-10-12 15:30:00,354,Success
MIG-0166,v1.166,alter_table_card_rename_field_166,2020-10-14 17:33:00,879,Success
MIG-0167,v1.167,alter_table_exception_rename_field_167,2020-10-16 03:21:00,1303,Success
MIG-0168,v1.168,alter_table_customer_drop_unused_168,2020-10-18 07:07:00,17,Success
MIG-0169,v1.169,alter_table_customer_modify_index_169,2020-10-19 18:29:00,1119,Success
MIG-0170,v1.170,alter_table_exception_drop_unused_170,2020-10-21 20:30:00,2390,Success
MIG-0171,v1.171,alter_table_transaction_rename_field_171,2020-10-24 06:31:00,1458,Success
MIG-0172,v1.172,alter_table_customer_add_column_172,2020-10-26 08:30:00,1318,Success
MIG-0173,v1.173,alter_table_account_modify_index_173,2020-10-28 13:55:00,2235,Success
MIG-0174,v1.174,alter_table_card_rename_field_174,2020-10-29 19:04:00,277,Success
MIG-0175,v1.175,alter_table_exception_modify_index_175,2020-10-31 03:31:00,1746,Success
MIG-0176,v1.176,alter_table_wallet_rename_field_176,2020-11-01 11:26:00,2040,Success
MIG-0177,v1.177,alter_table_merchant_create_table_177,2020-11-02 18:17:00,1163,Success
MIG-0178,v1.178,alter_table_exception_create_table_178,2020-11-04 19:24:00,1475,Success
MIG-0179,v1.179,alter_table_merchant_drop_unused_179,2020-11-06 06:06:00,1116,Success
MIG-0180,v1.180,alter_table_merchant_drop_unused_180,2020-11-07 06:55:00,894,Success
MIG-0181,v1.181,alter_table_account_create_table_181,2020-11-08 12:30:00,871,Success
MIG-0182,v1.182,alter_table_merchant_rename_field_182,2020-11-10 18:51:00,2320,Success
MIG-0183,v1.183,alter_table_transaction_add_column_183,2020-11-12 04:14:00,624,Success
MIG-0184,v1.184,alter_table_account_drop_unused_184,2020-11-13 12:13:00,1781,Success
MIG-0185,v1.185,alter_table_exception_add_column_185,2020-11-15 22:35:00,1277,Success
MIG-0186,v1.186,alter_table_wallet_modify_index_186,2020-11-18 11:17:00,994,Success
MIG-0187,v1.187,alter_table_account_drop_unused_187,2020-11-20 16:14:00,1853,Success
MIG-0188,v1.188,alter_table_account_drop_unused_188,2020-11-22 01:37:00,1703,Success
MIG-0189,v1.189,alter_table_transaction_drop_unused_189,2020-11-23 02:07:00,1080,Success
MIG-0190,v1.190,alter_table_transaction_modify_index_190,2020-11-24 05:34:00,513,Success
MIG-0191,v1.191,alter_table_customer_create_table_191,2020-11-25 11:07:00,1396,Success
MIG-0192,v1.192,alter_table_customer_drop_unused_192,2020-11-26 20:33:00,1070,Success
MIG-0193,v1.193,alter_table_transaction_drop_unused_193,2020-11-28 01:59:00,1586,Success
MIG-0194,v1.194,alter_table_wallet_drop_unused_194,2020-11-30 14:29:00,939,Success
MIG-0195,v1.195,alter_table_customer_drop_unused_195,2020-12-01 16:48:00,2093,Success
MIG-0196,v1.196,alter_table_customer_drop_unused_196,2020-12-04 00:13:00,2362,Success
MIG-0197,v1.197,alter_table_account_rename_field_197,2020-12-05 05:10:00,1299,Success
MIG-0198,v1.198,alter_table_transaction_modify_index_198,2020-12-07 07:49:00,1606,Success
MIG-0199,v1.199,alter_table_transaction_rename_field_199,2020-12-08 19:47:00,1864,Success
MIG-0200,v1.200,alter_table_transaction_add_column_200,2020-12-10 00:54:00,1892,Success
MIG-0201,v1.201,alter_table_account_add_column_201,2020-12-12 00:59:00,1034,Success
MIG-0202,v1.202,alter_table_merchant_modify_index_202,2020-12-13 05:48:00,1800,Success
MIG-0203,v1.203,alter_table_card_modify_index_203,2020-12-15 08:52:00,428,Success
MIG-0204,v1.204,alter_table_wallet_modify_index_204,2020-12-16 15:21:00,205,Success
MIG-0205,v1.205,alter_table_wallet_create_table_205,2020-12-18 17:53:00,735,Success
MIG-0206,v1.206,alter_table_exception_rename_field_206,2020-12-19 23:57:00,985,Success
MIG-0207,v1.207,alter_table_account_add_column_207,2020-12-22 04:37:00,334,Success
MIG-0208,v1.208,alter_table_exception_add_column_208,2020-12-23 06:09:00,844,Success
MIG-0209,v1.209,alter_table_card_add_column_209,2020-12-25 09:20:00,185,Success
MIG-0210,v1.210,alter_table_wallet_add_column_210,2020-12-26 18:59:00,767,Success
MIG-0211,v1.211,alter_table_merchant_modify_index_211,2020-12-27 23:45:00,1860,Success
MIG-0212,v1.212,alter_table_card_rename_field_212,2020-12-29 01:29:00,2462,Success
MIG-0213,v1.213,alter_table_card_rename_field_213,2020-12-30 12:15:00,254,Success
MIG-0214,v1.214,alter_table_account_create_table_214,2020-12-31 16:37:00,1095,Success
MIG-0215,v1.215,alter_table_merchant_drop_unused_215,2021-01-02 00:15:00,255,Success
MIG-0216,v1.216,alter_table_wallet_add_column_216,2021-01-04 01:12:00,224,Success
MIG-0217,v1.217,alter_table_transaction_create_table_217,2021-01-06 02:45:00,2143,Success
MIG-0218,v1.218,alter_table_exception_drop_unused_218,2021-01-07 12:03:00,1462,Success
MIG-0219,v1.219,alter_table_customer_drop_unused_219,2021-01-09 15:50:00,714,Success
MIG-0220,v1.220,alter_table_wallet_rename_field_220,2021-01-11 00:16:00,1590,Success
MIG-0221,v1.221,alter_table_exception_modify_index_221,2021-01-12 02:05:00,2051,Success
MIG-0222,v1.222,alter_table_merchant_add_column_222,2021-01-13 12:59:00,1798,Success
MIG-0223,v1.223,alter_table_customer_create_table_223,2021-01-15 00:35:00,968,Success
MIG-0224,v1.224,alter_table_exception_rename_field_224,2021-01-17 11:00:00,2466,Success
MIG-0225,v1.225,alter_table_merchant_create_table_225,2021-01-19 13:39:00,1651,Success
MIG-0226,v1.226,alter_table_account_drop_unused_226,2021-01-21 22:59:00,2103,Success
MIG-0227,v1.227,alter_table_transaction_modify_index_227,2021-01-23 03:34:00,2074,Success
MIG-0228,v1.228,alter_table_transaction_modify_index_228,2021-01-24 06:11:00,2137,Success
MIG-0229,v1.229,alter_table_merchant_create_table_229,2021-01-25 13:41:00,2024,Success
MIG-0230,v1.230,alter_table_account_drop_unused_230,2021-01-26 17:12:00,793,Success
MIG-0231,v1.231,alter_table_exception_add_column_231,2021-01-28 19:14:00,739,Success
MIG-0232,v1.232,alter_table_transaction_modify_index_232,2021-01-30 07:06:00,152,Success
MIG-0233,v1.233,alter_table_exception_rename_field_233,2021-01-31 16:27:00,2350,Success
MIG-0234,v1.234,alter_table_wallet_modify_index_234,2021-02-02 19:06:00,245,Success
MIG-0235,v1.235,alter_table_wallet_add_column_235,2021-02-05 06:46:00,1262,Success
MIG-0236,v1.236,alter_table_merchant_add_column_236,2021-02-07 11:51:00,211,Success
MIG-0237,v1.237,alter_table_merchant_rename_field_237,2021-02-10 00:32:00,2169,Success
MIG-0238,v1.238,alter_table_account_create_table_238,2021-02-12 10:05:00,417,Success
MIG-0239,v1.239,alter_table_customer_add_column_239,2021-02-14 15:52:00,958,Success
MIG-0240,v1.240,alter_table_card_add_column_240,2021-02-16 17:59:00,319,Success
MIG-0241,v1.241,alter_table_merchant_modify_index_241,2021-02-18 06:32:00,15,Success
MIG-0242,v1.242,alter_table_wallet_modify_index_242,2021-02-20 11:17:00,1057,Success
MIG-0243,v1.243,alter_table_merchant_add_column_243,2021-02-21 22:02:00,1525,Success
MIG-0244,v1.244,alter_table_transaction_drop_unused_244,2021-02-22 22:41:00,2490,Success
MIG-0245,v1.245,alter_table_customer_rename_field_245,2021-02-23 23:25:00,1699,Success
MIG-0246,v1.246,alter_table_exception_modify_index_246,2021-02-26 06:40:00,190,Failed
MIG-0247,v1.247,alter_table_exception_modify_index_246_retry,2021-02-28 16:12:00,1956,Success
MIG-0248,v1.248,alter_table_transaction_drop_unused_248,2021-03-02 21:53:00,117,Success
MIG-0249,v1.249,alter_table_exception_add_column_249,2021-03-05 06:37:00,1305,Success
MIG-0250,v1.250,alter_table_account_create_table_250,2021-03-07 16:57:00,374,Success
MIG-0251,v1.251,alter_table_exception_rename_field_251,2021-03-10 03:32:00,855,Success
MIG-0252,v1.252,alter_table_account_modify_index_252,2021-03-12 12:27:00,1202,Success
MIG-0253,v1.253,alter_table_transaction_rename_field_253,2021-03-14 18:39:00,1659,Success
MIG-0254,v1.254,alter_table_card_rename_field_254,2021-03-17 04:19:00,1776,Success
MIG-0255,v1.255,alter_table_card_add_column_255,2021-03-18 17:00:00,802,Success
MIG-0256,v1.256,alter_table_transaction_rename_field_256,2021-03-20 05:40:00,98,Success
MIG-0257,v1.257,alter_table_merchant_modify_index_257,2021-03-22 09:30:00,230,Success
MIG-0258,v1.258,alter_table_wallet_add_column_258,2021-03-24 21:36:00,712,Success
MIG-0259,v1.259,alter_table_merchant_drop_unused_259,2021-03-27 05:35:00,1355,Success
MIG-0260,v1.260,alter_table_exception_rename_field_260,2021-03-28 14:28:00,395,Success
MIG-0261,v1.261,alter_table_card_add_column_261,2021-03-30 15:40:00,2483,Success
MIG-0262,v1.262,alter_table_account_create_table_262,2021-04-01 19:23:00,875,Success
MIG-0263,v1.263,alter_table_account_create_table_263,2021-04-02 23:58:00,2062,Success
MIG-0264,v1.264,alter_table_merchant_add_column_264,2021-04-05 01:18:00,1708,Success
MIG-0265,v1.265,alter_table_exception_create_table_265,2021-04-06 09:06:00,1268,Success
MIG-0266,v1.266,alter_table_customer_add_column_266,2021-04-07 15:40:00,2267,Success
MIG-0267,v1.267,alter_table_exception_create_table_267,2021-04-10 00:27:00,856,Success
MIG-0268,v1.268,alter_table_account_add_column_268,2021-04-11 01:57:00,1215,Success
MIG-0269,v1.269,alter_table_transaction_modify_index_269,2021-04-12 14:11:00,723,Success
MIG-0270,v1.270,alter_table_account_drop_unused_270,2021-04-15 02:57:00,1299,Success
MIG-0271,v1.271,alter_table_transaction_modify_index_271,2021-04-16 05:57:00,1894,Success
MIG-0272,v1.272,alter_table_card_add_column_272,2021-04-17 18:04:00,1281,Success
MIG-0273,v1.273,alter_table_merchant_modify_index_273,2021-04-18 19:22:00,1463,Success
MIG-0274,v1.274,alter_table_account_rename_field_274,2021-04-20 21:40:00,1947,Success
MIG-0275,v1.275,alter_table_exception_rename_field_275,2021-04-22 09:41:00,1856,Success
MIG-0276,v1.276,alter_table_account_rename_field_276,2021-04-24 10:33:00,1116,Success
MIG-0277,v1.277,alter_table_account_add_column_277,2021-04-26 19:47:00,57,Success
MIG-0278,v1.278,alter_table_customer_drop_unused_278,2021-04-29 03:39:00,1794,Success
MIG-0279,v1.279,alter_table_merchant_create_table_279,2021-04-30 05:30:00,252,Success
MIG-0280,v1.280,alter_table_account_create_table_280,2021-05-02 15:58:00,2332,Success
MIG-0281,v1.281,alter_table_transaction_rename_field_281,2021-05-05 02:23:00,1683,Success
MIG-0282,v1.282,alter_table_account_drop_unused_282,2021-05-07 06:28:00,1446,Success
MIG-0283,v1.283,alter_table_card_modify_index_283,2021-05-09 12:02:00,1068,Success
MIG-0284,v1.284,alter_table_merchant_modify_index_284,2021-05-11 14:41:00,2214,Success
MIG-0285,v1.285,alter_table_customer_drop_unused_285,2021-05-13 19:10:00,1970,Success
MIG-0286,v1.286,alter_table_merchant_add_column_286,2021-05-16 06:43:00,1646,Success
MIG-0287,v1.287,alter_table_card_create_table_287,2021-05-18 17:33:00,2338,Success
MIG-0288,v1.288,alter_table_wallet_add_column_288,2021-05-21 04:12:00,1877,Success
MIG-0289,v1.289,alter_table_transaction_modify_index_289,2021-05-22 10:32:00,1445,Success
MIG-0290,v1.290,alter_table_exception_create_table_290,2021-05-23 13:09:00,2192,Success
MIG-0291,v1.291,alter_table_account_modify_index_291,2021-05-25 20:49:00,2059,Success
MIG-0292,v1.292,alter_table_wallet_add_column_292,2021-05-28 06:59:00,1518,Success
MIG-0293,v1.293,alter_table_merchant_create_table_293,2021-05-30 11:44:00,1381,Success
MIG-0294,v1.294,alter_table_card_modify_index_294,2021-06-01 14:41:00,115,Success
MIG-0295,v1.295,alter_table_merchant_modify_index_295,2021-06-04 01:36:00,1601,Success
MIG-0296,v1.296,alter_table_account_rename_field_296,2021-06-06 05:05:00,1947,Success
MIG-0297,v1.297,alter_table_transaction_modify_index_297,2021-06-07 15:02:00,1442,Success
MIG-0298,v1.298,alter_table_card_rename_field_298,2021-06-08 21:39:00,446,Success
MIG-0299,v1.299,alter_table_wallet_rename_field_299,2021-06-10 08:43:00,1828,Success
MIG-0300,v1.300,alter_table_account_add_column_300,2021-06-12 13:18:00,2122,Success
MIG-0301,v1.301,alter_table_customer_drop_unused_301,2021-06-13 22:00:00,855,Success
MIG-0302,v1.302,alter_table_wallet_add_column_302,2021-06-15 03:21:00,873,Success
MIG-0303,v1.303,alter_table_merchant_add_column_303,2021-06-17 13:54:00,1486,Success
MIG-0304,v1.304,alter_table_card_rename_field_304,2021-06-18 20:49:00,676,Success
MIG-0305,v1.305,alter_table_customer_create_table_305,2021-06-19 23:24:00,2263,Success
